input,match,notes
Discont,#item-868c94771,
discontentmt,#item-868c94771,
Inequ.y,#item-bafe6a7d2,
Hypocrisie,#item-5821466fa,
New Testament,#item-84496680a,
Com[m]andmt,#item-342367654,
Unthankfullness,#item-400ddd2e0,
red haired,#item-a1062b13d,
Negligence,#item-dfd2d85c3,
Consid,#item-37fe5c058,
mediator,#item-e03fccbbb,
Injust,#item-fb210324c,
Selfprofit,#item-0e15b046c,
Servant,#item-3513bb2bd,
Doctorship,#item-34ac490a3,
Minerals,#item-e1289ca34,
Small Way,#item-2a93f5b88,
Self-murd,#item-477bae7df,
disobed,#item-ab66bd9fd,
Stubborn,#item-223af03d7,
Remission,#item-891f6fb74,
Impart,#item-37fe4196e,
Impat,#item-267c3ac3f,
Montebank,#item-0d4c7cfeb,
Imposs,#item-dfaf3e8c6,
Wisdom,#item-e42300dfe,
Worship,#item-2b8a5b687,
defense,#item-7da8743c5,
Too slow,#item-5bc71e62e,
too slow,#item-5bc71e62e,
H. Ghost,#item-0bb65b876,
Pedantery,#item-2d8fab4cb,
will Worship,#item-d4a3712ee,
Livelyhood,#item-c59484501,
faithfullness,#item-d0ddf2293,
hotchpotch,#item-17f0268cc,
many men,#item-b18b9fcd1,
Prognostic,#item-46c12529d,
Prognostication,#item-46c12529d,
ecclesiastical disc,#item-c4e2bba71,
Eccles. Discipline,#item-c4e2bba71,
martial discipl,#item-9098cec91,
babling,#item-7be7b5bcb,
Self-murther,#item-477bae7df,
Selfdenial,#item-e12c96c89,
Gods blessings,#item-501e61424,
Love of Brethren,#item-7b1286b19,
Civil,#item-4fe320377,
Hast,#item-b472fa4fe,
Peace-maker,#item-fb8af06a3,
Little,#item-f81ed4510,
Coming of Xst,#item-e202e67bc,
Com[m]union,#item-04591d53c,
World's end,#item-cc1193c3a,
Inscriptions,#item-454cfd666,
Contentmt,#item-5f770ccf9,
Romance,#item-af75dbbde,
Banishmt,#item-ccc0b9c78,
Perfect,#item-d2dd2128e,
punishmt,#item-79ffc5944,
Original Tongue,#item-dc3f33b5e,
School,#item-238832d52,
dam[m]age,#item-f95d47f88,
Physicians,#item-9e1675f2b,
unmercifull,#item-2e68f38de,
Cross of Xst,#item-daf11e003,
great,#item-6c7cdca09,
disobed,#item-ab66bd9fd,
Guardians,#item-681cd26c1,
Imperfect,#item-ba07ed192,
Gods help,#item-7b1107290,
Gods Providence,#item-5ef72dfee,
Psalm,#item-863f88b4c,
Slow,#item-39c9d131e,
Testamt,#item-64d9caea7,
miracle,#item-a2f4c508e,
negligence,#item-dfd2d85c3,
Mediator,#item-e03fccbbb,
Orphan,#item-1d89b7ef2,
melancholy,#item-f7d2261c2,
Beauty,#item-74417d341,
Adultery,#item-7dab944a8,
Bounty,#item-ea495da66,
Unfruitful,#item-699585c8d,
Quarter,#item-35fe5d3ef,
Sympathy,#item-5506c2f45,
fainthearted,#item-335e81f7c,
Tyran[n]y,#item-e932376fc,
Strange Business,#item-bf2362a54,
Works,#item-ca04f2c8c,
jest,#item-8fd26eddf,
Watchfulness,#item-e237c446b,
Drinking of healths,#item-2b1f4b265,
World's End,#item-cc1193c3a,
Prohibitions,#item-2d7698387,
Oprhan house,#item-1d89b7ef2,
Stubbornness,#item-223af03d7,
Flatterers,#item-c9615b60f,
Punishmt,#item-79ffc5944,
Fables,#item-af75dbbde,
fables,#item-af75dbbde,
hast,#item-b472fa4fe,
slow,#item-39c9d131e,
external worship,#item-287033ba0,
External Worship,#item-287033ba0,
ban[n]ishmt,#item-ccc0b9c78,
agreable,#item-16d46db60,
Oaths,#item-8a41c29da,
Neutral,#item-323b2f38d,
Instrumt,#item-4818d98ae,
Impartial,#item-37fe4196e,
Certain,#item-2f6fb588a,
Likelyhood,#item-a7c6cbcff,
Subject,#item-da31c4125,
Objection,#item-fdf8ba431,
Difficult,#item-284e23a0c,
Councils,#item-41508590c,
Perdon,#item-e5e568bc3,
Fortress,#item-6e4f34fff,
Examin,#item-3baec17f6,
Agreemt,#item-1b8a91cc7,
herbs,#item-df285cbfd,
Reconcil,#item-2542e44da,
