volume,image_number,first_letter,entry,topic,problem,item
1,431,A,Abundance,Abundance,"The solitary ""add"" at the end of this entry may mark a cross-reference that Pastorius mistakenly did not complete.",#item-47e3112fb
1,431,A,Accusation,Accusation,"The point of reference for ""Perverting"" is not entirely clear, as there is no alphabetical entry for this term. The Octavo Index indicates that 122 [Perverting] may be the earliest occurrence of this topic in the Numerical section of the Alvearium.",#item-f602cdcb2
1,432,A,[WORD_MISSING],[WORD_MISSING],"The topic of this entry is unknown due to damage to the manuscript, but is likely ""Adultery"".",#item-7dab944a8
1,432,A,Agreement,Agreement,"The point of reference for ""Consent"" is not entirely clear, as there is no alphabetical entry for this term.  The Octavo Index indicates that 649 [Consent] may be the earliest occurrence of this topic in the Numerical section of the Alvearium.",#item-1b8a91cc7
1,432,A,Alamode,Alamode,"The point of reference for ""Clothes"" is not entirely clear, as there is no alphabetical entry for this term. The Octavo Index indicates that 19 [Clothes] may be the earliest occurrence of this topic in the Numerical section of the Alvearium.",#item-d48f2cc1d
1,432,A,Almanack,Almanack,"The point of reference for ""Astrology"" is not entirely clear, as there is no alphabetical entry for this term. The Octavo Index indicates that 24 [Astrology] may be the earliest occurrence of this topic in the Numerical section of the Alvearium",#item-3e8408a05
1,433,A,Answer,Answer,"The point of reference for ""Refutation"" is not entirely clear, as there is no alphabetical entry for this term. The Octavo Index indicates that 242 [Refutation] may be the earliest occurrence of this topic in the Numerical section of the Alvearium.",#item-bed49af6b
1,433,A,Ant,Ant,"The solitary ""add"" at the end of this entry may mark a cross-reference that Pastorius mistakenly did not complete.",#item-2be80ecb9
1,433,A,AntiChrist,AntiChrist,"The point of reference for ""False Prophets"" is not entirely clear, as there is no alphabetical entry for this term.The Octavo Index indicates that 41 [False Prophets] may be the earliest occurrence of this topic in the Numerical section of the Alvearium.",#item-398b608d5
1,433,A,Apostacy,Apostacy,"The point of reference for ""Degenerating"" is not entirely clear, as there is no alphabetical entry for this term. The Octavo Index indicates that 14 [Degenerating] may be the earliest occurrence of this topic in the Numerical section of the Alvearium.",#item-3d5c75e87
1,434,A,[WORD_MISSING],[WORD_MISSING],"The topic of this entry is unknown due to damage to the manuscript, but is likely ""Apothecary"".",#item-31ae4a109
1,434,A,Approbation,Approbation,"The points of reference for ""Confirm"", as there is no alphabetical entry for this term.  The Octavo Index indicates that 852 [Confirmation] may be the earliest relevant entry in the numerical section of the Alvearium, but it is on a missing page. ",#item-8e0b719bf
1,435,B,Banishment,Banishment,"The point of reference for ""Pilgrimage"" is not entirely clear, as there is no alphabetical entry for this term. The Octavo Index indicates that 30 [Pilgrimage] may be the earliest occurrence of this topic in the Numerical section of the Alvearium.",#item-ccc0b9c78
1,436,B,[WORD_MISSING],[WORD_MISSING],"The topic of this entry is unknown due to damage to the manuscript, but is likely ""Beauty"".",#item-74417d341
1,436,B,Beer,Beer,"The point of reference for ""Brewing"" is not entirely clear , as there is no alphabetical entry for this term. The Octavo Index indicates that 4615 [Brewing] may be the earliest ocurrence of this topic in the Numerical section of the Alvearium, but the page on which it would be found is missing from the manuscript. ",#item-d449462c4
1,436,B,Believe,Believe,This entry points to numerical entry 705. We have chosen to link to both 705 [Believe] and 705 [Doubtfulness] here.,#item-7737412f6
1,437,B,Blackness,Blackness,"The point of reference for ""Neger"" is not entirely clear, as there is no alphabetical entry for this term. The Octavo Index indicates that 382 [Neger or Negro] may be the earliest occurrence of this topic in the Numerical section of the Alvearium. It is also unclear as to whether or not ""White"" should be considered its own entry. Here we have annotated it as if it were so.",#item-c61e17bec
1,437,B,Blockhead,Blockhead,"It is unclear whether ""It. nick-name"" should be considered a cross-reference. The point of reference for ""Stupidity"" is not entirely clear, as there is no alphabetical entry for this term. The Octavo Index indicates that 711 [Stupidity] may be the earliest occurrence of this topic in the Numerical section of the Alvearium. It is also not totally clear if ""It. nick-name"" should be considered a cross reference. We have linked to 181 [Nickname].",#item-f7569668d
1,437,B,Blood,Blood,"It is unclear whether ""blood of Xst"" should be considered a separate entry. We have chosen to annotate it as its own entity. ",#item-f9f42e163
1,438,B,[WORD_MISSING],[WORD_MISSING],"The topic of this entry is unknown due to damage to the manuscript, but is likely ""Bounty"".",#item-ea495da66
1,438,B,Breast,Breast,"The solitary ""add"" at the end of this entry may mark a cross-reference that Pastorius mistakenly did not complete.",#item-c36f426c7
1,438,B,Bride & Bridegroom,Bride & Bridegroom,"The point of reference for ""Wedding"" is not entirely clear, as there is no alphabetical entry for this term. The Octavo Index indicates that 1208 [Wedding] may be the earliest occurrence of this topic in the Numerical section of the Alvearium.",#item-98fd4aab7
1,438,B,Brethren in Iniquity,Brethren in Iniquity,"It is not totally clear whether ""Brethren in Iniquity"" should be considered a separate entry. We have annotated it as its own entity here.",#item-8b178d13c
1,439,C,Cabal,Cabal,"The solitary ""add"" at the end of this entry may mark a cross-reference that Pastorius mistakenly did not complete.",#item-a90615ae8
1,439,C,Calling,Calling,"The point of reference for ""Ordination"" is not entirely clear, as there is no alphabetical entry for this term. The Octavo Index indicates that 221 [Sacramt of Orders] may be the earliest occurrence of this topic in the Numerical section of the Alvearium.",#item-01e9433b9
1,439,C,Captain,Captain,"The solitary ""add"" at the end of this entry may mark a cross-reference that Pastorius mistakenly did not complete.",#item-1c5099e20
1,440,C,Cause,Cause,"The point of reference for ""Motive"" is not entirely clear, as there is no alphabetical entry for this term. The Octavo Index indicates that 153 [Motive] may be the earliest occurrence of this topic in the Numerical section of the Alvearium.",#item-f217cbcac
1,440,C,Celibate,Celibate,"It is not totally clear whether ""To prevent generation"" should be considered a separate entry. We have annotated it as part of ""Celibate"" here.",#item-9ad056c61
1,441,C,Ceremony,Ceremony,Damage to the manuscript has made the topic of one of this entry's cross references illegible. ,#item-56a80e6d3
1,441,C,Chiliasm,Chiliasm,"The point of reference for ""Restoration"" is not entirely clear, as there is no alphabetical entry for this term. The Octavo Index indicates that 1652 [Restoration] may be the earliest occurrence of this topic in the Numerical section of the Alvearium.",#item-bedd177d3
1,442,C,Cloke,Cloke,"It is unclear whether Pastorius meant to include ""coat"" as a cross reference. The solitary ""add"" at the end of this entry may mark a cross-reference that Pastorius mistakenly did not complete.",#item-b30905b40
