pid,volume,image_number,head,entry,topic,first_letter,xref,see,index,item,unparsed,line,full_image,order,thumbnail,full,manifest
alpha_1,Volume 1,431,,Absence,Absence,A,Presence,,Absence,#item-351a9f3bd,,Entry: Absence|Topic: Absence|Xref: Presence|Index: Absence|#item-351a9f3bd,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0430/full/full/0/default.jpg,1,http://openn.library.upenn.edu/Data/0002/mscodex726/data/thumb/1607_0430_thumb.jpg,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0430/244,208,3241,610/full/0/default.jpg",http://dev.llgc.org.uk/annotation/1486415753404
alpha_2,Volume 1,431,,Absurdity,Absurdity,A,,,Absurdity,#item-1e0398189,,Entry: Absurdity|Topic: Absurdity|Index: Absurdity|#item-1e0398189,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0430/full/full/0/default.jpg,2,http://openn.library.upenn.edu/Data/0002/mscodex726/data/thumb/1607_0430_thumb.jpg,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0430/275,697,3160,624/full/0/default.jpg",http://dev.llgc.org.uk/annotation/1486415847665
alpha_3,Volume 1,431,,Abundance,Abundance,A,"Too much, Superfluity",,Abundance,#item-47e3112fb,,"Entry: Abundance|Topic: Abundance|Xref: Too much, Superfluity|Index: Abundance|#item-47e3112fb",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0430/full/full/0/default.jpg,3,http://openn.library.upenn.edu/Data/0002/mscodex726/data/thumb/1607_0430_thumb.jpg,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0430/316,1203,3137,656/full/0/default.jpg",http://dev.llgc.org.uk/annotation/1486415950224
alpha_4,Volume 1,431,,Abuse,Abuse,A,,,Abuse,#item-c1ee1f404,,Entry: Abuse|Topic: Abuse|Index: Abuse|#item-c1ee1f404,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0430/full/full/0/default.jpg,4,http://openn.library.upenn.edu/Data/0002/mscodex726/data/thumb/1607_0430_thumb.jpg,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0430/303,1784,3157,622/full/0/default.jpg",http://dev.llgc.org.uk/annotation/1486416030589
alpha_5,Volume 1,431,,Accusation,Accusation,A,Railing,,Accusation,#item-f602cdcb2,,Entry: Accusation|Topic: Accusation|Xref: Railing|Index: Accusation|#item-f602cdcb2,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0430/full/full/0/default.jpg,5,http://openn.library.upenn.edu/Data/0002/mscodex726/data/thumb/1607_0430_thumb.jpg,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0430/250,2328,3229,549/full/0/default.jpg",http://dev.llgc.org.uk/annotation/1490034801392
alpha_6,Volume 1,431,,Adiaphory,Adiaphory,A,,,Adiaphory,#item-d38a0df93,,Entry: Adiaphory|Topic: Adiaphory|Index: Adiaphory|#item-d38a0df93,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0430/full/full/0/default.jpg,6,http://openn.library.upenn.edu/Data/0002/mscodex726/data/thumb/1607_0430_thumb.jpg,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0430/232,2763,3234,432/full/0/default.jpg",http://dev.llgc.org.uk/annotation/1490035043095
alpha_7,Volume 1,431,,Admonishing,Admonishing,A,,,Admonishing,#item-60ce01426,,Entry: Admonishing|Topic: Admonishing|Index: Admonishing|#item-60ce01426,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0430/full/full/0/default.jpg,7,http://openn.library.upenn.edu/Data/0002/mscodex726/data/thumb/1607_0430_thumb.jpg,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0430/314,3220,3087,603/full/0/default.jpg",http://dev.llgc.org.uk/annotation/1490035183420
alpha_8,Volume 1,431,,Advantage,Advantage,A,"Profit, Benefit, Utility",,Advantage,#item-186cc582d,,"Entry: Advantage|Topic: Advantage|Xref: Profit, Benefit, Utility|Index: Advantage|#item-186cc582d",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0430/full/full/0/default.jpg,8,http://openn.library.upenn.edu/Data/0002/mscodex726/data/thumb/1607_0430_thumb.jpg,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0430/369,3725,3011,473/full/0/default.jpg",http://dev.llgc.org.uk/annotation/1490035959587
alpha_9,Volume 1,431,,Adventure,Adventure,A,Casualty,,Adventure,#item-076a9d1b7,,Entry: Adventure|Topic: Adventure|Xref: Casualty|Index: Adventure|#item-076a9d1b7,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0430/full/full/0/default.jpg,9,http://openn.library.upenn.edu/Data/0002/mscodex726/data/thumb/1607_0430_thumb.jpg,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0430/357,4133,3048,401/full/0/default.jpg",http://dev.llgc.org.uk/annotation/1490036222861
alpha_10,Volume 1,431,,Adversity,Adversity,A,Gods affection,,Adversity,#item-fb558fcd2,,Entry: Adversity|Topic: Adversity|Xref: Gods affection|Index: Adversity|#item-fb558fcd2,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0430/full/full/0/default.jpg,10,http://openn.library.upenn.edu/Data/0002/mscodex726/data/thumb/1607_0430_thumb.jpg,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0430/373,4366,3048,673/full/0/default.jpg",http://dev.llgc.org.uk/annotation/1490037841809
