pid,volume,image_number,head,entry,topic,first_letter,xref,see,page,add,type,index,item,unparsed,line,selection,full_image,annotation_uri,order,thumbnail,full,label
alpha_0927,Volume 2,57,,Table-talks,Table-talks,T,,,,,,table-talks,#item-16e6d7be1,,Entry: Table-talks|Topic: Table-talks|Index: table-talks|#item-16e6d7be1,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0524/329,1673,3145,441/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0524/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1527863517428,927,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0455/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0524/329,1673,3145,441/full/0/default.jpg",Table-talks
alpha_0928,Volume 2,57,,Tailor,Tailor,T,Seamster|to sell|<a href='/New_Beehive/toc_vol2/toc2_338/'>1733 [Tailor]</a>,,,,,<a href='/New_Beehive/index5/index_4047/'>tailor</a>,#item-5ba038f11,,Entry: Tailor|Topic: Tailor|Xref: Seamster|Xref: to sell|Xref: 1733 [Tailor]|Index: tailor|#item-5ba038f11,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0524/336,2011,3116,395/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0524/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1528917520882,928,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0455/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0524/336,2011,3116,395/full/0/default.jpg",Tailor
alpha_0929,Volume 2,57,,Tautology,Tautology,T,<a href='/New_Beehive/alpha1/alpha_0050/'>Babbling</a>|<a href='/New_Beehive/toc_vol2/toc2_213/'>1097 [Tautology]</a>,,,,,<a href='/New_Beehive/index5/index_4068/'>tautology</a>,#item-e1219527a,,Entry: Tautology|Topic: Tautology|Xref: Babbling|Xref: 1097 [Tautology]|Index: tautology|#item-e1219527a,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0524/325,2324,3132,369/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0524/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1528919413409,929,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0455/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0524/325,2324,3132,369/full/0/default.jpg",Tautology
alpha_0930,Volume 2,57,,Tax,Tax,T,<a href='/New_Beehive/toc_vol2/toc2_265/'>1359 [The Favour of Princes]</a>,,,,,<a href='/New_Beehive/index5/index_4069/'>tax</a>,#item-71ea8abaf,,Entry: Tax|Topic: Tax|Xref: 1359 [The Favour of Princes]|Index: tax|#item-71ea8abaf,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0524/359,2644,3057,494/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0524/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1528920411660,930,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0455/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0524/359,2644,3057,494/full/0/default.jpg",Tax
alpha_0931,Volume 2,57,,Teacher,Teacher,T,<a href='/New_Beehive/toc_vol2/toc2_104/'>393 [Teacher]</a>|False Prophets,,,,,<a href='/New_Beehive/index5/index_4073/'>teachers</a>,#item-e5a7c5921,,Entry: Teacher|Topic: Teacher|Xref: 393 [Teacher]|Xref: False Prophets|Index: teachers|#item-e5a7c5921,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0524/346,3102,3049,560/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0524/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1528920983598,931,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0455/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0524/346,3102,3049,560/full/0/default.jpg",Teacher
alpha_0932,Volume 2,57,,Temerity,Temerity,T,<a href='/New_Beehive/alpha1/alpha_0091/'>Boldness</a>,,,,,<a href='/New_Beehive/index5/index_4080/'>temerity</a>,#item-71c1ec9e2,,Entry: Temerity|Topic: Temerity|Xref: Boldness|Index: temerity|#item-71c1ec9e2,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0524/317,3605,3114,549/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0524/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1528921199930,932,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0455/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0524/317,3605,3114,549/full/0/default.jpg",Temerity
alpha_0933,Volume 2,57,,Temperance,Temperance,T,<a href='/New_Beehive/alpha1/alpha_0232/'>Diet</a>|<a href='/New_Beehive/alpha3/alpha_0481/'>Intemperance</a>|<a href='/New_Beehive/toc_vol2/toc2_247/'>1269 [Temperance]</a>,,,,,<a href='/New_Beehive/index5/index_4081/'>temperance</a>,#item-0211a4e15,,Entry: Temperance|Topic: Temperance|Xref: Diet|Xref: Intemperance|Xref: 1269 [Temperance]|Index: temperance|#item-0211a4e15,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0524/358,4123,3041,510/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0524/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1528921562478,933,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0455/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0524/358,4123,3041,510/full/0/default.jpg",Temperance
alpha_0934,Volume 2,57,,Temptation,Temptation,T,Instigation|Provocation|<a href='/New_Beehive/toc_vol2/toc2_078/'>206 [Temptation]</a>,,,,,<a href='/New_Beehive/index5/index_4086/'>temptation</a>,#item-d5b751b3a,,Entry: Temptation|Topic: Temptation|Xref: Instigation|Xref: Provocation|Xref: 206 [Temptation]|Index: temptation|#item-d5b751b3a,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0524/360,4572,3154,565/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0524/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1528921727879,934,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0455/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0524/360,4572,3154,565/full/0/default.jpg",Temptation
alpha_0935,Volume 2,58,,Terrour,Terrour,T,<a href='/New_Beehive/alpha2/alpha_0319/'>fear</a>|<a href='/New_Beehive/toc_vol2/toc2_149/'>669 [Terrour]</a>,,,,,<a href='/New_Beehive/index5/index_4097/'>terrour</a>,#item-9b7e9cd67,,Entry: Terrour|Topic: Terrour|Xref: fear|Xref: 669 [Terrour]|Index: terrour|#item-9b7e9cd67,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0525/753,416,3071,479/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0525/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1528922472347,935,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0455/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0525/753,416,3071,479/full/0/default.jpg",Terrour
alpha_0936,Volume 2,58,,Testament,Testament,T,<a href='/New_Beehive/alpha5/alpha_1024/'>Will</a>|<a href='/New_Beehive/toc_vol2/toc2_389/'>2226 [Will]</a>,,,,,<a href='/New_Beehive/index5/index_4098/'>testament</a>,#item-64d9caea7,,Entry: Testament|Topic: Testament|Xref: Will|Xref: 2226 [Will]|Index: testament|#item-64d9caea7,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0525/771,792,3092,414/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0525/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1529087635453,936,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0455/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0525/771,792,3092,414/full/0/default.jpg",Testament
alpha_0937,Volume 2,58,,Old Testamt,Old Testamt,T,<a href='/New_Beehive/toc_vol2/toc2_173/'>926 [New Testament]</a>,,,,,<a href='/New_Beehive/index5/index_4099/'>testament old</a>,#item-d12a4cca7,,Entry: Old Testamt|Topic: Old Testamt|Xref: 926 [New Testament]|Index: testament old|#item-d12a4cca7,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0525/807,1138,3029,444/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0525/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1529088029734,937,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0455/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0525/807,1138,3029,444/full/0/default.jpg",Old Testamt
alpha_0938,Volume 2,58,,New Testamt,New Testamt,T,<a href='/New_Beehive/toc_vol2/toc2_173/'>926 [New testament]</a>,,,,,<a href='/New_Beehive/index5/index_4100/'>testament new</a>,#item-84496680a,,Entry: New Testamt|Topic: New Testamt|Xref: 926 [New testament]|Index: testament new|#item-84496680a,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0525/755,1457,3052,490/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0525/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1565113440065,938,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0455/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0525/755,1457,3052,490/full/0/default.jpg",New Testamt
alpha_0939,Volume 2,58,,Testimony,Testimony,T,<a href='/New_Beehive/alpha4/alpha_0741/'>Proof</a>|<a href='/New_Beehive/toc_vol2/toc2_063/'>61 [Prosecution]</a>,,,,,<a href='/New_Beehive/index5/index_4102/'>testimony</a>,#item-4dde9e62,,Entry: Testimony|Topic: Testimony|Xref: Proof|Xref: 61 [Prosecution]|Index: testimony|#item-4dde9e62,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0525/763,1830,3006,551/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0525/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1565113581729,939,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0455/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0525/763,1830,3006,551/full/0/default.jpg",Testimony
alpha_0940,Volume 2,58,,Thanks,Thanks,T,<a href='/New_Beehive/alpha2/alpha_0381/'>Gratitude</a>|<a href='/New_Beehive/toc_vol2/toc2_220/'>1132 [Gratitude]</a>,,,,,<a href='/New_Beehive/index5/index_4105/'>thanks</a>,#item-a4c335091,,Entry: Thanks|Topic: Thanks|Xref: Gratitude|Xref: 1132 [Gratitude]|Index: thanks|#item-a4c335091,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0525/768,2298,3010,466/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0525/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1529416356121,940,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0455/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0525/768,2298,3010,466/full/0/default.jpg",Thanks
alpha_0941,Volume 2,58,,Thirst,Thirst,T,<a href='/New_Beehive/alpha1/alpha_0262/'>Drink</a>,,,,,<a href='/New_Beehive/index5/index_4120/'>thirst</a>,#item-ca7158b5d,,Entry: Thirst|Topic: Thirst|Xref: Drink|Index: thirst|#item-ca7158b5d,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0525/819,2688,3020,458/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0525/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1529517328554,941,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0455/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0525/819,2688,3020,458/full/0/default.jpg",Thirst
