pid,volume,image_number,head,entry,topic,first_letter,page,add,xref,see,index,item,unparsed,line,selection,full_image,annotation_uri,sort_value,insertion,thumbnail,label,location,issue,also_in_entry
alpha_0001,Volume 1,431,,Absence,Absence,A,,,<a href='/digital-beehive/alpha4/alpha_0733/'>Presence</a>|<a href='/digital-beehive/num6/num_2007/'>1397 [Absence]</a>|<a href='/digital-beehive/num2/num_0289/'>261 [Absence & Presence of Xst]</a>,,<a href='/digital-beehive/index1/index_0013/'>absence</a>,#item-351a9f3bd,,Entry: Absence|Topic: Absence|Xref: Presence|Xref: 1397 [Absence]|Xref: 261 [Absence & Presence of Xst]|Index: absence|#item-351a9f3bd,"https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0430/244,208,3241,610/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0430/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1486415753404,143110208,,"https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0430/244,208,600,180/250,/0/default.jpg",Absence,<a href='/digital-beehive/toc/toc1_421/'>Full Page</a>,,
alpha_0002,Volume 1,431,,Absurdity,Absurdity,A,,,<a href='/digital-beehive/num3/num_0764/'>589 [Nonsense]</a>|<a href='/digital-beehive/num4/num_1218/'>919 [Absurd]</a>,,<a href='/digital-beehive/index1/index_0018/'>absurdity</a>,#item-1e0398189,,Entry: Absurdity|Topic: Absurdity|Xref: 589 [Nonsense]|Xref: 919 [Absurd]|Index: absurdity|#item-1e0398189,"https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0430/275,697,3160,624/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0430/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1486415847665,143110697,,"https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0430/275,697,600,180/250,/0/default.jpg",Absurdity,<a href='/digital-beehive/toc/toc1_421/'>Full Page</a>,,
alpha_0003,Volume 1,431,,Abundance,Abundance,A,,,<a href='/digital-beehive/alpha5/alpha_0970/'>Too much</a>|<a href='/digital-beehive/alpha4/alpha_0933/'>Superfluity</a>,,<a href='/digital-beehive/index1/index_0019/'>abundance</a>,#item-47e3112fb,,Entry: Abundance|Topic: Abundance|Xref: Too much|Xref: Superfluity|Index: abundance|#item-47e3112fb,"https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0430/314,1201,3139,658/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0430/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1486415950224,143111201,,"https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0430/314,1201,600,180/250,/0/default.jpg",Abundance,<a href='/digital-beehive/toc/toc1_421/'>Full Page</a>,"The solitary ""add"" at the end of this entry may mark a cross-reference that Pastorius mistakenly did not complete.",
alpha_0004,Volume 1,431,,Abuse,Abuse,A,,,<a href='/digital-beehive/num5/num_1492/'>1102 [Abuse]</a>,,<a href='/digital-beehive/index1/index_0020/'>abuse</a>,#item-c1ee1f404,,Entry: Abuse|Topic: Abuse|Xref: 1102 [Abuse]|Index: abuse|#item-c1ee1f404,"https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0430/301,1782,3159,624/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0430/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1486416030589,143111782,,"https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0430/301,1782,600,180/250,/0/default.jpg",Abuse,<a href='/digital-beehive/toc/toc1_421/'>Full Page</a>,,
alpha_0005,Volume 1,431,,Accusation,Accusation,A,,,<a href='/digital-beehive/alpha4/alpha_0774/'>Railing</a>|<a href='/digital-beehive/num1/num_0011/'>11 [Ill Name]</a>|<a href='/digital-beehive/num1/num_0126/'>122 [Perverting]</a>|<a href='/digital-beehive/num2/num_0313/'>278 [Accusation]</a>,,<a href='/digital-beehive/index1/index_0029/'>accusation</a>,#item-f602cdcb2,,Entry: Accusation|Topic: Accusation|Xref: Railing|Xref: 11 [Ill Name]|Xref: 122 [Perverting] |Xref: 278 [Accusation]|Index: accusation|#item-f602cdcb2,"https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0430/248,2326,3231,551/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0430/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1490034801392,143112326,,"https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0430/248,2326,600,180/250,/0/default.jpg",Accusation,<a href='/digital-beehive/toc/toc1_421/'>Full Page</a>,"The point of reference for ""Perverting"" is not entirely clear. We linked to 122 [Perverting], which is the first relevant entry in the numerical section of the Alvearium.",
alpha_0006,Volume 1,431,,Adiaphory,Adiaphory,A,,,<a href='/digital-beehive/num1/num_0184/'>176 [Indifferency]</a>,,<a href='/digital-beehive/index1/index_0042/'>adiaphory</a>,#item-d38a0df93,,Entry: Adiaphory|Topic: Adiaphory|Xref: 176 [Indifferency]|Index: adiaphory|#item-d38a0df93,"https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0430/232,2763,3234,432/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0430/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1490035043095,143112763,,"https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0430/232,2763,600,180/250,/0/default.jpg",Adiaphory,<a href='/digital-beehive/toc/toc1_421/'>Full Page</a>,,
alpha_0007,Volume 1,431,,Admonishing,Admonishing,A,,,843 [PAGE_MISSING],,<a href='/digital-beehive/index1/index_0045/'>admonishing</a>,#item-2c0d8cbd5,,Entry: Admonishing|Topic: Admonishing|Xref: 843 [PAGE_MISSING]|Index: admonishing|#item-2c0d8cbd5,"https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0430/312,3218,3089,605/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0430/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1490035183420,143113218,,"https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0430/312,3218,600,180/250,/0/default.jpg",Admonishing,<a href='/digital-beehive/toc/toc1_421/'>Full Page</a>,,
alpha_0008,Volume 1,431,,Advantage,Advantage,A,,,<a href='/digital-beehive/alpha4/alpha_0745/'>Profit</a>|<a href='/digital-beehive/alpha1/alpha_0079/'>Benefit</a>|<a href='/digital-beehive/alpha5/alpha_1020/'>Utility</a>,,<a href='/digital-beehive/index1/index_0047/'>advantage</a>,#item-186cc582d,,Entry: Advantage|Topic: Advantage|Xref: Profit|Xref: Benefit|Xref: Utility|Index: advantage|#item-186cc582d,"https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0430/369,3725,3011,473/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0430/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1490035959587,143113725,,"https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0430/369,3725,600,180/250,/0/default.jpg",Advantage,<a href='/digital-beehive/toc/toc1_421/'>Full Page</a>,,
alpha_0009,Volume 1,431,,Adventure,Adventure,A,,,<a href='/digital-beehive/alpha1/alpha_0126/'>Casualty</a>|<a href='/digital-beehive/num3/num_0840/'>623 [Adventure]</a>,,<a href='/digital-beehive/index1/index_0048/'>adventure</a>,#item-076a9d1b7,,Entry: Adventure|Topic: Adventure|Xref: Casualty|Xref: 623 [Adventure]|Index: adventure|#item-076a9d1b7,"https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0430/357,4133,3048,401/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0430/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1490036222861,143114133,,"https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0430/357,4133,600,180/250,/0/default.jpg",Adventure,<a href='/digital-beehive/toc/toc1_421/'>Full Page</a>,,
alpha_0010,Volume 1,431,,Adversity,Adversity,A,,,<a href='/digital-beehive/alpha1/alpha_0199/'>Cross</a>|<a href='/digital-beehive/num2/num_0364/'>316 [Affliction]</a>|<a href='/digital-beehive/num3/num_1040/'>712 [Adversity]</a>,,<a href='/digital-beehive/index1/index_0049/'>adversity</a>,#item-fb558fcd2,,Entry: Adversity|Topic: Adversity|Xref: Cross|Xref: 316 [Affliction]|Xref: 712 [Adversity]|Index: adversity|#item-fb558fcd2,"https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0430/371,4364,3050,675/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0430/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1490037841809,143114364,,"https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0430/371,4364,600,180/250,/0/default.jpg",Adversity,<a href='/digital-beehive/toc/toc1_421/'>Full Page</a>,"The point of reference for ""Gods affection"" is unclear.",
