volume,image_number,head,entry,topic,xref,see,index,item,selection,full_image
Volume 1,431,,Absence,Absence,Presence|1397 [Absence]|261 [Absence & Presence of Xst],,absence,#item-351a9f3bd,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0430/244,208,3241,610/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0430/full/full/0/default.jpg
Volume 1,431,,Absurdity,Absurdity,589 [Nonsense]|919 [Absurd],,absurdity,#item-1e0398189,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0430/275,697,3160,624/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0430/full/full/0/default.jpg
Volume 1,431,,Abundance,Abundance,Too much|Superfluity,,abundance,#item-47e3112fb,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0430/316,1203,3137,656/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0430/full/full/0/default.jpg
Volume 1,431,,Abuse,Abuse,1102 [Abuse],,abuse,#item-c1ee1f404,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0430/303,1784,3157,622/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0430/full/full/0/default.jpg
Volume 1,431,,Accusation,Accusation,Perverting|278 [Accusation],,accusation,#item-f602cdcb2,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0430/250,2328,3229,549/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0430/full/full/0/default.jpg
Volume 1,431,,Adiaphory,Adiaphory,176 [Indifferency],,adiaphory,#item-d38a0df93,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0430/232,2763,3234,432/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0430/full/full/0/default.jpg
Volume 1,431,,Admonishing,Admonishing,843 [PAGE_MISSING],,admonishing,#item-60ce01426,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0430/314,3220,3087,603/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0430/full/full/0/default.jpg
Volume 1,431,,Advantage,Advantage,Profit|Benefit|Utility,,advantage,#item-186cc582d,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0430/369,3725,3011,473/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0430/full/full/0/default.jpg
Volume 1,431,,Adventure,Adventure,Casualty|623 [Adventure],,adventure,#item-076a9d1b7,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0430/357,4133,3048,401/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0430/full/full/0/default.jpg
Volume 1,431,,Adversity,Adversity,Gods affection|712 [Adversity],,adversity,#item-fb558fcd2,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0430/373,4366,3048,673/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0430/full/full/0/default.jpg
