volume,image_number,head,entry,topic,page,add,xref,see,index,item,unparsed,line,selection,full_image,annotation_uri
Volume 2,11,,Favour,Favour,,,Disfavour|1359 [Favour],,favour & disfavour,#item-89fc7f3f5,,Entry: Favour|Topic: Favour|Xref: Disfavour|Xref: 1359 [Favour]|Index: favour & disfavour|#item-89fc7f3f5,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0478/413,254,3026,514/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0478/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1474833083208
Volume 2,11,,Fear,Fear,,,Coward|fainthearted|Terrour|203 [Fear],,fear,#item-c9de27b2b,,Entry: Fear|Topic: Fear|Xref: Coward|Xref: fainthearted|Xref: Terrour|Xref: 203 [Fear]|Index: fear|#item-c9de27b2b,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0478/413,712,3049,495/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0478/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1474833182657
Volume 2,11,,Feast,Feast,,,165 [Feast],,"feast, i.e. banquet",#item-00b892f8c,,"Entry: Feast|Topic: Feast|Xref: 165 [Feast]|Index: feast, i.e. banquet|#item-00b892f8c","https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0478/427,1543,3035,453/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0478/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1474833518808
Volume 2,11,,Fever,Fever,,,2099 [Fever],,fever,#item-015746612,,Entry: Fever|Topic: Fever|Xref: 2099 [Fever]|Index: fever|#item-015746612,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0478/408,1964,3026,311/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0478/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1474833593766
Volume 2,11,,Fewness,Fewness,,,Rarity,,fewness,#item-5113dc0b5,,Entry: Fewness|Topic: Fewness|Xref: Rarity|Index: fewness|#item-5113dc0b5,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0478/394,2242,2993,476/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0478/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1474833674901
Volume 2,11,,First,First,,,Beginning,,first,#item-b922f4d19,,Entry: First|Topic: First|Xref: Beginning|Index: first|#item-b922f4d19,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0478/394,3130,3012,533/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0478/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1474833818598
Volume 2,11,,Firstborn,Firstborn,,,2163 [Birth-right],,firstborn,#item-024c28ee8,,Entry: Firstborn|Topic: Firstborn|Xref: 2163 [Birth-right]|Index: firstborn|#item-024c28ee8,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0478/399,3649,3026,406/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0478/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1474833867921
Volume 2,11,,Fish,Fish,,,Eel|1646 [Fish],,fish,#item-499282970,,Entry: Fish|Topic: Fish|Xref: Eel|Xref: 1646 [Fish]|Index: fish|#item-499282970,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0478/422,4004,3007,354/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0478/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1474833942776
Volume 1,450,,Discord,Discord,,,Unanimity|840 [PAGE_MISSING],,discord,#item-40ce07a4f,,Entry: Discord|Topic: Discord|Xref: Unanimity|Xref: 840 [PAGE_MISSING]|Index: discord|#item-40ce07a4f,"https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0449/711,1957,3093,725/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0449/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1486053269083
Volume 1,431,,Absence,Absence,,,Presence|1397 [Absence]|261 [Absence & Presence of Xst],,absence,#item-351a9f3bd,,Entry: Absence|Topic: Absence|Xref: Presence|Xref: 1397 [Absence]|Xref: 261 [Absence & Presence of Xst]|Index: absence|#item-351a9f3bd,"https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0430/244,208,3241,610/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0430/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1486415753404
