pid,volume,image_number,head,entry,topic,first_letter,page,add,xref,see,index,item,unparsed,line,selection,full_image,annotation_uri,insertion,thumbnail,label,location,issue,insertion_xref
index_1918,Volume 3,24,Jacob,<a href='/digital-beehive/num8/num_2789/'>1903 [Jacob]</a>,,I/J,,,,,,#item-ace6d71d3,,Head: Jacob|Entry: 1903 [Jacob]|#item-ace6d71d3,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0967/1799,3590,445,142/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0967/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1559589178057,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0967/1799,3590,445,142/150,/0/default.jpg",Jacob,<a href='/digital-beehive/toc/toc3_24/'>Full Page</a>,,
index_1919,Volume 3,25,[:47.],,,I/J,,,,,,#item-62eccffee,Type: Index|Insertion Xref: [:47.]|#item-62eccffee,Type: Index|Insertion Xref: [:47.]|#item-62eccffee,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0968/1441,712,130,119/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0968/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1560198490302,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0968/1441,712,130,119/150,/0/default.jpg",[:47.],<a href='/digital-beehive/toc/toc3_25/'>Full Page</a>,,<a href='/digital-beehive/index5/index_4732/'>Em (or Im)bossing</a>
index_1920,Volume 3,25,incest,<a href='/digital-beehive/num3/num_0726/'>570 [Incest]</a>,,I/J,,,,,,#item-cee0fc442,,Head: incest|Entry: 570 [Incest]|#item-cee0fc442,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0968/1572,806,1,1/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0968/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1559670442840,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0968/1572,806,1,1/150,/0/default.jpg",incest,<a href='/digital-beehive/toc/toc3_25/'>Full Page</a>,,
index_1921,Volume 3,25,Jamaica,<a href='/digital-beehive/num7/num_2250/'>1519 [Jamaica]</a>,,I/J,,,,,,#item-cc655b7f8,,Head: Jamaica|Entry: 1519 [Jamaica]|#item-cc655b7f8,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0968/175,224,502,160/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0968/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1559658695813,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0968/175,224,502,160/150,/0/default.jpg",Jamaica,<a href='/digital-beehive/toc/toc3_25/'>Full Page</a>,,
index_1922,Volume 3,25,illumination,<a href='/digital-beehive/alpha3/alpha_0457/'>a</a>|<a href='/digital-beehive/num5/num_1374/'>1027 [Illumination]</a>,,I/J,,,,,,#item-a08dbd85b,,Head: illumination|Entry: a|Entry: 1027 [Illumination]|#item-a08dbd85b,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0968/884,264,614,111/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0968/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1559664659244,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0968/884,264,614,111/150,/0/default.jpg",illumination,<a href='/digital-beehive/toc/toc3_25/'>Full Page</a>,,
index_1923,Volume 3,25,James 3d,<a href='/digital-beehive/num9/num_3128/'>2186 [the Pretender James 3d]</a>,,I/J,,,,,,#item-f0f03a072,,Head: James 3d|Entry: 2186 [the Pretender James 3d]|#item-f0f03a072,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0968/168,285,616,135/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0968/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1559658677810,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0968/168,285,616,135/150,/0/default.jpg",James 3d,<a href='/digital-beehive/toc/toc3_25/'>Full Page</a>,,
index_1924,Volume 3,25,in,<a href='/digital-beehive/num5/num_1391/'>1040 [In]</a>,,I/J,,,,,,#item-e970114b5,,Head: in|Entry: 1040 [In]|#item-e970114b5,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0968/1585,297,332,88/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0968/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1559669394415,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0968/1585,297,332,88/150,/0/default.jpg",in,<a href='/digital-beehive/toc/toc3_25/'>Full Page</a>,,
index_1925,Volume 3,25,James I,<a href='/digital-beehive/num6/num_2157/'>1468 [Mole : Müttermal]</a>,,I/J,,,,,,#item-04b2950cf,,Head: James IEntry: 1468 [Mole : Müttermal]|#item-04b2950cf,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0968/170,329,470,151/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0968/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1559658648355,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0968/170,329,470,151/150,/0/default.jpg",James I,<a href='/digital-beehive/toc/toc3_25/'>Full Page</a>,,
index_1926,Volume 3,25,Image of God,<a href='/digital-beehive/alpha3/alpha_0459/'>a</a>|<a href='/digital-beehive/num9/num_3010/'>2077 [Image of God]</a>,,I/J,,,,,,#item-f129a326c,,Head: Image of God|Entry: a|Entry: 2077 [Image of God]|#item-f129a326c,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0968/836,376,739,125/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0968/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1559664766400,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0968/836,376,739,125/150,/0/default.jpg",Image of God,<a href='/digital-beehive/toc/toc3_25/'>Full Page</a>,,
index_1927,Volume 3,25,inamoured,<a href='/digital-beehive/num6/num_1858/'>1324 [Inamoured]</a>|<a href='/digital-beehive/num7/num_2639/'>1716 [Inamoured]</a>|<a href='/digital-beehive/num11/num_3556/'>4862 [Inamoured]</a>,,I/J,,,,,,#item-099db045d,,Head: inamoured|Entry: 1324 [Inamoured]|Entry: 1716 [Inamoured]|Entry: 4862 [Inamoured]|#item-099db045d,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0968/1582,377,738,179/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0968/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1559669565220,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0968/1582,377,738,179/150,/0/default.jpg",inamoured,<a href='/digital-beehive/toc/toc3_25/'>Full Page</a>,,
index_1928,Volume 3,25,Jacobites,<a href='/digital-beehive/num8/num_2721/'>1789 [Jacobites]</a>,,I/J,,,,,,#item-844047635,,Head: Jacobites|Entry: 1789 [Jacobites]|#item-844047635,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0968/183,410,457,102/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0968/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1559658172031,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0968/183,410,457,102/150,/0/default.jpg",Jacobites,<a href='/digital-beehive/toc/toc3_25/'>Full Page</a>,,
index_1929,Volume 3,25,Jailer,<a href='/digital-beehive/num2/num_0489/'>399 [Jailer]</a>,,I/J,,,,,,#item-e30834ea8,,Head: Jailer|Entry: 399 [Jailer]|#item-e30834ea8,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0968/154,451,416,139/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0968/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1559658251678,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0968/154,451,416,139/150,/0/default.jpg",Jailer,<a href='/digital-beehive/toc/toc3_25/'>Full Page</a>,,
index_1930,Volume 3,25,in any wise,<a href='/digital-beehive/num6/num_1981/'>1385 [Howsoever]</a>,,I/J,,,,,,#item-e0b99fe3a,,Head: in any wise|Entry: 1385 [Howsoever]|#item-e0b99fe3a,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0968/1586,484,500,92/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0968/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1559669663782,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0968/1586,484,500,92/150,/0/default.jpg",in any wise,<a href='/digital-beehive/toc/toc3_25/'>Full Page</a>,,
