pid,volume,image_number,head,entry,topic,first_letter,page,add,xref,see,index,item,unparsed,line,selection,full_image,annotation_uri,sort_value,insertion,thumbnail,label,location,issue,insertion_xref
index_2752,Volume 3,33,Oak,<a href='/digital-beehive/num3/num_0979/'>687 [Oak]</a>,,O,,,,,,#item-cdc54c43e,,Head: Oak|Entry: 687 [Oak]|#item-cdc54c43e,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0976/184,1283,454,141/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0976/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1536346652084,303311283,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0976/184,1283,454,141/150,/0/default.jpg",Oak,<a href='/digital-beehive/toc/toc3_33/'>Full Page</a>,,
index_2753,Volume 3,33,oath,<a href='/digital-beehive/alpha4/alpha_0653/'>a</a>|<a href='/digital-beehive/num3/num_0736/'>576 [Oath]</a>|<a href='/digital-beehive/num6/num_1765/'>1272 [Oath]</a>,,O,,,,,,#item-c1aecfb23,,Head: oath|Entry: a|Entry: 576 [Oath]|Entry: 1272 [Oath]|#item-c1aecfb23,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0976/180,1442,651,96/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0976/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1510673928480,303311442,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0976/180,1442,651,96/150,/0/default.jpg",oath,<a href='/digital-beehive/toc/toc3_33/'>Full Page</a>,,
index_2754,Volume 3,33,oats,<a href='/digital-beehive/alpha4/alpha_0652/'>a</a>,,O,,,,,,#item-0be4a7bf6,,Head: oats|Entry: a|#item-0be4a7bf6,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0976/175,1574,295,96/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0976/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1510673932593,303311574,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0976/175,1574,295,96/150,/0/default.jpg",oats,<a href='/digital-beehive/toc/toc3_33/'>Full Page</a>,,
index_2755,Volume 3,33,obedience,<a href='/digital-beehive/alpha4/alpha_0654/'>a</a>|<a href='/digital-beehive/num4/num_1315/'>985 [Obedience]</a>|1837 [PAGE_MISSING]|<a href='/digital-beehive/num9/num_3133/'>2189 [Passive Obedience & non resistance]</a>,,O,,<a href='/digital-beehive/index4/index_2905/'>passive</a>,,,,#item-543a07fcf,,Head: obedience|Entry: a|Entry: 985 [Obedience]|Entry: 1837 [PAGE_MISSING]|Add: passive|Entry: 2189 [Passive Obedience & non resistance]|#item-543a07fcf,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0976/145,1641,789,260/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0976/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1536347173045,303311641,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0976/145,1641,789,260/150,/0/default.jpg",obedience,<a href='/digital-beehive/toc/toc3_33/'>Full Page</a>,,
index_2756,Volume 3,33,objections,<a href='/digital-beehive/num1/num_0259/'>241 [Objections]</a>|<a href='/digital-beehive/num5/num_1412/'>1053 [Objections agt. the Quakers answered]</a>,,O,,,,,,#item-ddf21a32c,,Head: objections|Entry: 241 [Objections]|Entry: 1053 [Objections agt. the Quakers answered]|#item-ddf21a32c,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0976/145,1797,749,168/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0976/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1536347226016,303311797,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0976/145,1797,749,168/150,/0/default.jpg",objections,<a href='/digital-beehive/toc/toc3_33/'>Full Page</a>,,
index_2757,Volume 3,33,obligation,<a href='/digital-beehive/alpha4/alpha_0655/'>a</a>|<a href='/digital-beehive/num6/num_2003/'>1396 [Obliga[ti]on]</a>,,O,,,,,,#item-48c0ae297,,Head: obligation|Entry: a|Entry: 1396 [Obliga[ti]on]|#item-48c0ae297,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0976/134,1936,726,179/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0976/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1536347253491,303311936,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0976/134,1936,726,179/150,/0/default.jpg",obligation,<a href='/digital-beehive/toc/toc3_33/'>Full Page</a>,,
index_2758,Volume 3,33,I'm oblig'd to you,<a href='/digital-beehive/num10/num_3481/'>4493 [I am Oblig'd to you]</a>,,O,,,,,,#item-008614831,,Head: I'm oblig'd to you|Entry: 4493 [I am Oblig'd to you]|#item-008614831,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0976/106,2026,793,147/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0976/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1536347315624,303312026,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0976/106,2026,793,147/150,/0/default.jpg",I'm oblig'd to you,<a href='/digital-beehive/toc/toc3_33/'>Full Page</a>,,
index_2759,Volume 3,33,obscene,,,O,,,,<a href='/digital-beehive/index1/index_0471/'>buffoonry</a>,,#item-3cde73157,,Head: obscene|See: buffoonry|#item-3cde73157,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0976/146,2107,733,204/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0976/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1536347340932,303312107,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0976/146,2107,733,204/150,/0/default.jpg",obscene,<a href='/digital-beehive/toc/toc3_33/'>Full Page</a>,,
index_2760,Volume 3,33,obscurity,<a href='/digital-beehive/alpha4/alpha_0656/'>a</a>|<a href='/digital-beehive/num6/num_1804/'>1292 [Obscurity]</a>,,O,,,,,,#item-d09fc2786,,Head: obscurity|Entry: a|Entry: 1292 [Obscurity]|#item-d09fc2786,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0976/124,2247,726,207/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0976/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1536347367008,303312247,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0976/124,2247,726,207/150,/0/default.jpg",obscurity,<a href='/digital-beehive/toc/toc3_33/'>Full Page</a>,,
index_2761,Volume 3,33,observation,<a href='/digital-beehive/num3/num_0871/'>640 [Observation]</a>|<a href='/digital-beehive/num6/num_2167/'>1472 [Remarkable]</a>,,O,,,,,,#item-6ee282f59,,Head: observation|Entry: 640 [Observation]|Entry: 1472 [Remarkable]|#item-6ee282f59,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0976/116,2410,839,195/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0976/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1536347405082,303312410,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0976/116,2410,839,195/150,/0/default.jpg",observation,<a href='/digital-beehive/toc/toc3_33/'>Full Page</a>,,
