pid,volume,image_number,head,entry,topic,first_letter,xref,see,page,add,type,index,item,unparsed,line,selection,full_image,annotation_uri,order,thumbnail,full,label
index_4039,Volume 3,46,T,<a href='/New_Beehive/toc_vol2/toc2_241/'>1236 [Crux ansata]</a>,,T,,,,,,,#item-768588548,,Head: T|Entry: 1236 [Crux ansata]|#item-768588548,"https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0989/2038,268,346,139/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0989/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1531742208851,4039,"https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0989/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0989/2038,268,346,139/full/0/default.jpg",T
index_4040,Volume 3,46,tabern,,,T,,Inn,,,,,#item-733cb1714,,Head: tabern|See: Inn|#item-733cb1714,"https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0989/1860,423,505,135/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0989/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1531742228514,4040,"https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0989/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0989/1860,423,505,135/full/0/default.jpg",tabern
index_4041,Volume 3,46,tabernacle,<a href='/New_Beehive/toc_vol2/toc2_134/'>582 [Articles of faith]</a>,,T,,,,,,,#item-4166e5676,,Head: tabernacle|Entry: 582 [Articles of faith]|#item-4166e5676,"https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0989/1832,553,543,107/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0989/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1531742286333,4041,"https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0989/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0989/1832,553,543,107/full/0/default.jpg",tabernacle
index_4042,Volume 3,46,table,<a href='/New_Beehive/toc_vol2/toc2_181/'>975 [Table]</a>,,T,,,<a href='/New_Beehive/toc_vol1/toc1_058/'>p.8 [Image 1.68]</a>,,,,#item-1f7eed759,,Head: table|Page: p.8 [Image 1.68]|Entry: 975 [Table]|#item-1f7eed759,"https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0989/1848,665,496,116/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0989/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1531742347493,4042,"https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0989/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0989/1848,665,496,116/full/0/default.jpg",table
index_4043,Volume 3,46,table friend,,,T,,<a href='/New_Beehive/index4/index_2877/'>parasite</a>,,,,,#item-c10562d29,,Head: table friend|See: parasite|#item-c10562d29,"https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0989/1845,732,527,123/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0989/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1565293631774,4043,"https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0989/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0989/1845,732,527,123/full/0/default.jpg",table friend
index_4044,Volume 3,46,table talks,4620 [PAGE_MISSING],,T,,,,,,,#item-57e4c49f8,,Head: table talks|Entry: 4620 [PAGE_MISSING]|#item-57e4c49f8,"https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0989/1816,778,543,117/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0989/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1565293650952,4044,"https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0989/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0989/1816,778,543,117/full/0/default.jpg",table talks
index_4045,Volume 3,46,table cloth,4729 [PAGE_MISSING],,T,,,,,,,#item-fa28577e0,,Head: table cloth|Entry: 4729 [PAGE_MISSING]|#item-fa28577e0,"https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0989/1836,846,464,109/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0989/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1531742452219,4045,"https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0989/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0989/1836,846,464,109/full/0/default.jpg",table cloth
index_4046,Volume 3,46,tail,<a href='/New_Beehive/toc_vol2/toc2_132/'>573 [a Tail]</a>,,T,,,,,,,#item-fd1f350c3,,Head: tail|Entry: 573 [a Tail]|#item-fd1f350c3,"https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0989/1792,896,438,145/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0989/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564498397016,4046,"https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0989/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0989/1792,896,438,145/full/0/default.jpg",tail
index_4047,Volume 3,46,tailor,<a href='/New_Beehive/alpha5/alpha_0928/'>a</a>|<a href='/New_Beehive/toc_vol2/toc2_338/'>1733 [Tailor]</a>,,T,,,,,,,#item-f04d35a88,,Head: tailor|Entry: a|Entry: 1733 [Tailor]|#item-f04d35a88,"https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0989/1819,1063,511,109/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0989/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1528918516628,4047,"https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0989/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0989/1819,1063,511,109/full/0/default.jpg",tailor
index_4048,Volume 3,46,to take,753 [PAGE_MISSING],,T,,,,,,,#item-b9427ca92,,Head: to take|Entry: 753 [PAGE_MISSING]|#item-b9427ca92,"https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0989/1828,1167,464,101/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0989/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1531742493249,4048,"https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0989/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0989/1828,1167,464,101/full/0/default.jpg",to take
index_4049,Volume 3,46,to take heed,<a href='/New_Beehive/toc_vol2/toc2_417/'>2407 [to Take heed]</a>,,T,,,,,,,#item-70dfc46a1,,Head: to take heed|Entry: 2407 [to Take heed]|#item-70dfc46a1,"https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0989/1822,1246,496,71/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0989/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1531742632320,4049,"https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0989/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0989/1822,1246,496,71/full/0/default.jpg",to take heed
index_4050,Volume 3,46,talebearing,<a href='/New_Beehive/toc_vol2/toc2_097/'>340 [Talebearing]</a>,,T,,,,,,,#item-c6d023cce,,Head: talebearing|Entry: 340 [Talebearing]|#item-c6d023cce,"https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0989/1845,1318,531,156/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0989/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1531742728460,4050,"https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0989/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0989/1845,1318,531,156/full/0/default.jpg",talebearing
