pid,volume,image,pastorius_page_numbers,older_pastorius_page_numbers,type,secondary_type,toc_title,toc_link,section_title,secondary_section_title,tertiary_section_title,pastorius_section_header,pastorius_description,contents,secondary_contents,notes,first_entry,last_entry,order,thumbnail,full,notes_DONOTUSE
toc1_000_fr_ex,1,1,,,The Book's Physical Properties,External Features,,,,,,,,,,,,,001,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0000/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0000/full/full/0/default.jpg,
toc1_000_fr_in,1,2,,,The Book's Physical Properties,External Features,,,,,,,,,,,,,002,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0001/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0001/full/full/0/default.jpg,
toc1_001,1,11,,,Introductory Material,,,,Front Matter,Third Version,,,"For as much as our Memory is not capable to retain all remarkable Words, Phrases, Sciences & Makers of Moment, which we do hear and read, It becomes every good Scholar to have a Common-Place Book, & therein to Treasure up what ever deserves his Notice &c. And to the end that he may readily know, both whither to dispose and Insert each particular, as also where upon occasion to find the same again, &c. he ought to make himself an Alphabetical Index, like that of this Bee-Hive beginning infrà page 10 ./. And Seeing it is the largest of my Manuscripts, whch I in my riper Years did gather out of excellent English Authors, whose Names ye may see page 56. &c. My desire, Last Will and Testament is, that my Two Sons John Samuel and Henry Pastorius shall have & hold the same with the Rest of my Writings, mentioned infrà page 386. to themselves & their heirs for ever, and not to part with them for any thing in this World, but rather to add thereunto some of their Own, &c. Because the price of Wisdom is above Rubies, and cannot be Valued with the precious Onyx or Sapphire: and to get Understanding is rather to be chosen than Silver and Gold. &c. / Prov. 16:16. Job. 28:16, 18. / Francis Daniel Pastorius ",Introduction to his Common-Place Book,,This leaf was loose prior to rebinding.,,,003,,,Title page and table of contents for volume 1. MDL: loose leaf
toc1_002,1,12,,,Introductory Material,,,,Front Matter,Third Version,,,,Rhymes & Commentary on the Nature of the Manuscript,,This leaf was loose prior to rebinding.,,,004,,,Epigraphs and introductory notes
toc1_003,1,13,,,Introductory Material,,1.13: Francis Daniel Pastorius's Paper-Hive,Francis_Daniel_Pastoriuss_Paper_Hive_Whose_Beginning,Front Matter,Third Version,,Francis Daniel Pastorius's Paper-Hive: Whose Beginning once was in page Fifty-five,,"Title Page & Epigraphs for the Paper-Hive in Seven Languages, pt. 1",,,,,005,,,"Epigraphs, titles, letter to sons, onomastic symbols (unnumbered)"
toc1_004,1,14,,,Introductory Material,,,,Front Matter,Third Version,,,,"Epigraphs for the Paper-Hive in Seven Languages, pt. 2",,,,,006,,,Epigraphs
toc1_005,1,15,,,Introductory Material,,,,Front Matter,Third Version,,,,"Epigraphs for the Paper-Hive in Seven Languages, pt. 3",,,,,007,,,Epigraphs
toc1_006,1,16,,,Blank Page,,,,,,,,,,,,,,008,,,
toc1_007,1,17,,,Introductory Material,,,,Front Matter,Third Version,,"Francis Dan- [...] his [...] Hive. Begun Anno Dond, Or In the Year of Christian Account 1696.",,Revised Introduction to the Manuscript,,,,,009,,,Title page and epigraphs
toc1_008,1,18,,,Indices,Alvearium,1.18: Old Alvearium Index,Old_Alvearium_Index,Old Alvearium Index,,,[MISSING],[MISSING],,,,Abate,barn,010,,,
toc1_009,1,19,,,Indices,Alvearium,,,Old Alvearium Index,,,,,,,,barrenness,cause: of sin,011,,,
toc1_010,1,20,,,Indices,Alvearium,,,Old Alvearium Index,,,,,,,,cellar,day: add Visitation,012,,,
toc1_011,1,21,,,Indices,Alvearium,,,Old Alvearium Index,,,,,,,,deafness,errata in printing,013,,,
toc1_012,1,22,,,Indices,Alvearium,,,Old Alvearium Index,,,,,,,,estrich,hosp. at Glaucha: books there printed,014,,,
toc1_013,1,23,,,Indices,Alvearium,,,Old Alvearium Index,,,,,,,,glass,Jesting: jocular books,015,,,
toc1_014,1,24,,,Indices,Alvearium,,,Old Alvearium Index,,,,,,,,Jew,to Leak,016,,,
toc1_015,1,25,,,Indices,Alvearium,,,Old Alvearium Index,,,,,,,,to lean on,to mitigate,017,,,
toc1_016,1,26,,,Indices,Alvearium,,,Old Alvearium Index,,,,,,,,mock,ostentation,018,,,
toc1_017,1,27,,,Indices,Alvearium,,,Old Alvearium Index,,,,,,,,other,preludium,019,,,
toc1_018,1,28,,,Indices,Alvearium,,,Old Alvearium Index,,,,,,,,preoccupation,religion,020,,,
toc1_019,1,29,,,Indices,Alvearium,,,Old Alvearium Index,,,,,,,,reliques or remains,Selandia,021,,,
toc1_020,1,30,,,Indices,Alvearium,,,Old Alvearium Index,,,,,,,,Seldom,sperma,022,,,
toc1_021,1,31,,,Indices,Alvearium,,,Old Alvearium Index,,,,,,,,Spices,tenant,023,,,
toc1_022,1,32,,,Indices,Alvearium,,,Old Alvearium Index,,,,,,,,tenderness,Virgil,024,,,
toc1_023,1,33,,,Indices,Alvearium,,,Old Alvearium Index,,,,,,,,Virginia,wilderness,025,,,
toc1_024,1,34,,,Indices,Alvearium,1.34: An Alphabetical Register of the Names of those who (forsooth) are Im[m]ortalized by Epitaphs,An_Alphabetical_Register_of_the_Names,Old Alvearium Index,Index to Epitaphs,,"An Alphabetical Register of the Names of those who (forsooth) are Im[m]ortalized by Epitaphs, rehearsed in this Manuscript, from page 11. &c.","[Epitaphs not usual among primitive Christians, but among Gentiles & Papists, see p. 11 num. 10. 11. 12. & 13.]",[Epitaphs:] Alexanoni M. - Laur. Valla.,,,will: of God,zuz,026,,,Page also contains alphabetical list of people whose epitaphs are found in the MS
toc1_025,1,35,,,Indices,Onomastical Considerations,1.35: A peculiar Index or Table to Mine Onomastical Considerations,A_peculiar_Index,Onomastic Index,,,"A peculiar Index or Table to Mine Onomastical Considerations, which begin page 63. & 111.",,,,,Abaddon,the only Blessee,027,,,"(The referenced numerical onomastic section will come up later in vol. 1, so don't be afraid)"
toc1_026,1,36,,,Indices,Onomastical Considerations,,,Onomastic Index,,,,,,,,blind girl,Crocuta,028,,,(Alphabetize according to relevant letter?)
toc1_027,1,37,,,Indices,Onomastical Considerations,,,Onomastic Index,,,,,,,,Croesus,face of God,029,,,
