volume,image_number,item,entry,topic,problem,reference_link
Volume 2,68,#item-eb4bf567f,2,Laconism,"This entry appears under two identical entries of the Octavo Index: ""few words"" in image 3.20, and ""few words"" in image 3.53.",<a href='/digital-beehive/num1/num_0002/'>2 [Laconism]</a>
Volume 2,68,#item-3624e23f3,11,Ill Name,"This entry appears under two identical entries of the Octavo Index: ""ill name"" in image 3.25, and ""ill name"" in image 3.32.",<a href='/digital-beehive/num1/num_0011/'>11 [Ill Name]</a>
Volume 2,69,#item-f59bc66fa,21,Moderate,"The point of reference for ""Clemency"" is not entirely clear. We linked to 1120 [Clemency], which is the first relevant entry in the numerical section of the Alvearium.",<a href='/digital-beehive/num1/num_0021/'>21 [Moderate]</a>
Volume 2,70,#item-0abd40d8e,29,Curse,"The point of reference for ""Swearing"" is not entirely clear. We linked to 90 [Swearing], which is the first relevant entry in the numerical section of the Alvearium.",<a href='/digital-beehive/num1/num_0029/'>29 [Curse]</a>
Volume 2,70,#item-b3df03bc1,35,Enthusiasm,"The points of reference for ""Swooning"" and ""Phanatick"" are not entirely clear. We linked to 616 [Fanatick], which is the most relevant entry in the numerical section of the Alvearium. The Octavo Index indicates that 728 [Swooning] might be the earliest relevant entry in the Alvearium, but it appears on a missing page.",<a href='/digital-beehive/num1/num_0035/'>35 [Enthusiasm]</a>
Volume 2,70,#item-f121e2d3b,40,Light,"The solitary ""add"" at the end of this entry may mark a cross-reference that Pastorius mistakenly did not complete.",<a href='/digital-beehive/num1/num_0040/'>40 [Light]</a>
Volume 2,70,#item-15b185629,43,Clergy,"The solitary ""add"" at the end of this entry may mark a cross-reference that Pastorius mistakenly did not complete.",<a href='/digital-beehive/num1/num_0043/'>43 [Clergy]</a>
Volume 2,71,#item-f131aff6e,46,Orthodox,"The point of reference for ""Soundness of Doctrine"" is unclear.",<a href='/digital-beehive/num1/num_0046/'>46 [Orthodox]</a>
Volume 2,71,#item-9387f6568,47,Try & prove all things,"The point of reference for ""Implicit Faith"" is not entirely clear. We linked to 53 [Implicite Faith], which is the first relevant entry in the numerical section of the Alvearium.",<a href='/digital-beehive/num1/num_0047/'>47 [Try & prove all things]</a>
Volume 2,71,#item-d704ca78c,49,Pelagius,"The point of reference for ""Implicit Faith"" is not entirely clear. We linked to 53 [Implicite Faith], which is the first relevant entry in the numerical section of the Alvearium.",<a href='/digital-beehive/num1/num_0049/'>49 [Pelagius]</a>
Volume 2,72,#item-c10bda087,57,Presumption,"The point of reference for ""Vain man"" is not entirely clear. We linked to 1293 [Vain Man], which is the first relevant entry in the numerical section of the Alvearium.",<a href='/digital-beehive/num1/num_0058/'>57 [Presumption]</a>
Volume 2,72,#item-0142bdb41,58,acts of Forbearance or Condescension,"The point of reference for ""Indulgence"" is not entirely clear. We linked to 667 [Indulgence], which is the first relevant entry in the numerical section of the Alvearium.",<a href='/digital-beehive/num1/num_0059/'>58 [acts of Forbearance or Condescension]</a>
