pid,volume,image_number,head,entry,topic,first_letter,page,add,xref,see,index,item,unparsed,line,selection,full_image,annotation_uri,sort_value,insertion,thumbnail,label,location,issue,also_in_entry
num_3484,Volume 2,439,,4791,[WORD_MISSING],4776-4800,,,,,<a href='/digital-beehive/index5/index_4698/'>pin money</a>,#item-27dc3796d,,Entry: 4791|Topic: [WORD_MISSING]|Index: pin money|#item-27dc3796d,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0906/420,213,2830,324/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0906/full/full/0/default.jpg,http://beehive-anno.library.upenn.edu/annotation/1680282080400,243910213,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0906/420,213,600,180/250,/0/default.jpg",4791. [WORD_MISSING],<a href='/digital-beehive/toc/toc2_429/'>Full Page</a>,The entry number and topic are illegible due to damage. We have labeled this entry with the logical number in the sequence.,
num_3485,Volume 2,439,,4792,English form of Governmt,4776-4800,,,<a href='/digital-beehive/alpha2/alpha_0286/'>England</a>,,<a href='/digital-beehive/index2/index_1257/'>English government</a>,#item-14b521fe2,,Entry: 4792|Topic: English form of Governmt|Xref: England|Index: English government|#item-14b521fe2,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0906/467,529,1794,272/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0906/full/full/0/default.jpg,http://beehive-anno.library.upenn.edu/annotation/1680282700183,243910529,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0906/467,529,600,180/250,/0/default.jpg",4792. English form of Governmt,<a href='/digital-beehive/toc/toc2_429/'>Full Page</a>,,
num_3486,Volume 2,439,,4793,Action,4776-4800,,,,,<a href='/digital-beehive/index1/index_0038/'>action</a>,#item-960220419,,Entry: 4793|Topic: Action|Index: action|#item-960220419,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0906/472,1064,2820,238/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0906/full/full/0/default.jpg,http://beehive-anno.library.upenn.edu/annotation/1680282761645,243911064,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0906/472,1064,600,180/250,/0/default.jpg",4793. Action,<a href='/digital-beehive/toc/toc2_429/'>Full Page</a>,,
num_3487,Volume 2,439,,4794,Apothecary,4776-4800,,,,,<a href='/digital-beehive/index1/index_0172/'>apothecary</a>,#item-598c82e6e,,Entry: 4794|Topic: Apothecary|Index: apothecary|#item-598c82e6e,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0906/467,1520,1414,227/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0906/full/full/0/default.jpg,http://beehive-anno.library.upenn.edu/annotation/1680282794430,243911520,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0906/467,1520,600,180/250,/0/default.jpg",4794. Apothecary,<a href='/digital-beehive/toc/toc2_429/'>Full Page</a>,,
num_3488,Volume 2,439,,4795,Argus,4776-4800,,,,,<a href='/digital-beehive/index1/index_0200/'>argus</a>,#item-8699dce2f,,Entry: 4795|Topic: Argus|Index: argus|#item-8699dce2f,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0906/490,2006,2662,194/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0906/full/full/0/default.jpg,http://beehive-anno.library.upenn.edu/annotation/1680282820760,243912006,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0906/490,2006,600,180/250,/0/default.jpg",4795. Argus,<a href='/digital-beehive/toc/toc2_429/'>Full Page</a>,,
num_3489,Volume 2,439,,4796,Lully's,4776-4800,,,,,<a href='/digital-beehive/index3/index_2365/'>Lully</a>,#item-8e2b7b994,,Entry: 4796|Topic: Lully's|Index: Lully|#item-8e2b7b994,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0906/492,2464,1504,227/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0906/full/full/0/default.jpg,http://beehive-anno.library.upenn.edu/annotation/1680282860960,243912464,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0906/492,2464,600,180/250,/0/default.jpg",4796. Lully's,<a href='/digital-beehive/toc/toc2_429/'>Full Page</a>,,<a href='/digital-beehive/num11/num_3490/'>Bouhours</a>
num_3490,Volume 2,439,,4796,Bouhours,4776-4800,,,,,<a href='/digital-beehive/index1/index_0423/'>bouhours</a>,#item-2223cc658,,Entry: 4796|Topic: Bouhours|Index: bouhours|#item-2223cc658,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0906/472,2650,1710,168/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0906/full/full/0/default.jpg,http://beehive-anno.library.upenn.edu/annotation/1680282892296,243912650,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0906/472,2650,600,180/250,/0/default.jpg",4796. Bouhours,<a href='/digital-beehive/toc/toc2_429/'>Full Page</a>,,<a href='/digital-beehive/num11/num_3489/'>Lully's</a>
num_3491,Volume 2,439,,4797,Advertisemts,4776-4800,,,,,<a href='/digital-beehive/index1/index_0050/'>advertisemts</a>,#item-4d12127f0,,Entry: 4797|Topic: Advertisemts|Index: advertisemts|#item-4d12127f0,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0906/450,2950,2829,223/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0906/full/full/0/default.jpg,http://beehive-anno.library.upenn.edu/annotation/1680282942361,243912950,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0906/450,2950,600,180/250,/0/default.jpg",4797. Advertisemts,<a href='/digital-beehive/toc/toc2_429/'>Full Page</a>,,
num_3492,Volume 2,439,,4798,Portugal,4776-4800,,,,,<a href='/digital-beehive/index4/index_3078/'>portugal</a>,#item-25df802ef,,Entry: 4798|Topic: Portugal|Index: portugal|#item-25df802ef,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0906/445,3331,2850,268/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0906/full/full/0/default.jpg,http://beehive-anno.library.upenn.edu/annotation/1680283003218,243913331,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0906/445,3331,600,180/250,/0/default.jpg",4798. Portugal,<a href='/digital-beehive/toc/toc2_429/'>Full Page</a>,,
num_3493,Volume 2,439,,4799,Genius,4776-4800,,,,,<a href='/digital-beehive/index2/index_1595/'>genius</a>,#item-ba85eb0fb,,Entry: 4799|Topic: Genius|Index: genius|#item-ba85eb0fb,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0906/440,3786,2911,567/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0906/full/full/0/default.jpg,http://beehive-anno.library.upenn.edu/annotation/1680283042530,243913786,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0906/440,3786,600,180/250,/0/default.jpg",4799. Genius,<a href='/digital-beehive/toc/toc2_429/'>Full Page</a>,,
