pid,volume,image_number,head,entry,topic,first_letter,page,add,xref,see,index,item,unparsed,line,selection,full_image,annotation_uri,sort_value,insertion,thumbnail,label,location,issue,also_in_entry
num_0273,Volume 2,94,,251,Gold,251-275,,,<a href='/digital-beehive/num9/num_3034/'>2097 [Gold]</a>|<a href='/digital-beehive/num9/num_3020/'>2084 [Metalla potabilia]</a>,,<a href='/digital-beehive/index2/index_1664/'>gold</a>,#item-a88b1a265,,Entry: 251|Topic: Gold|Xref: 2097 [Gold]|Xref: 2084 [Metalla potabilia]|Index: gold|#item-a88b1a265,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0561/814,4298,2988,784/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0561/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1570656374575,209414298,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0561/814,4298,600,180/250,/0/default.jpg",251. Gold,<a href='/digital-beehive/toc/toc2_084/'>Full Page</a>,,
num_0274,Volume 2,95,,252,Surnames,251-275,,,,,<a href='/digital-beehive/index4/index_4003/'>surnames</a>,#item-175ca71fe,,Entry: 252|Topic: Surnames|Index: surnames|#item-175ca71fe,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0562/200,246,3128,509/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0562/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1570728982375,209510246,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0562/200,246,600,180/250,/0/default.jpg",252. Surnames,<a href='/digital-beehive/toc/toc2_085/'>Full Page</a>,,<a href='/digital-beehive/num2/num_0275/'>Afterwards</a>
num_0275,Volume 2,95,,252,Afterwards,251-275,,,,,<a href='/digital-beehive/index2/index_1809/'>hereafter</a>,#item-a5dc3644a,,Entry: 252|Topic: Afterwards|Index: hereafter|#item-a5dc3644a,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0562/265,675,2978,282/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0562/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1570729044430,209510675,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0562/265,675,600,180/250,/0/default.jpg",252. Afterwards,<a href='/digital-beehive/toc/toc2_085/'>Full Page</a>,,<a href='/digital-beehive/num2/num_0274/'>Surnames</a>
num_0276,Volume 2,95,,253,change name,251-275,,,,,<a href='/digital-beehive/index1/index_0598/'>change of names</a>,#item-4de611ce5,,Entry: 253|Topic: change name|Index: change of names|#item-4de611ce5,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0562/225,981,3083,495/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0562/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1570729136260,209510981,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0562/225,981,600,180/250,/0/default.jpg",253. change name,<a href='/digital-beehive/toc/toc2_085/'>Full Page</a>,,<a href='/digital-beehive/num2/num_0277/'>Rape</a>
num_0277,Volume 2,95,,253,Rape,251-275,,,<a href='/digital-beehive/alpha1/alpha_0190/'>to Court or to Wooe</a>,,<a href='/digital-beehive/index4/index_3290/'>rape</a>,#item-f46c5a465,,Entry: 253|Topic: Rape|Xref: to Court or to Wooe|Index: rape|#item-f46c5a465,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0562/239,1423,3062,258/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0562/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1570729169612,209511423,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0562/239,1423,600,180/250,/0/default.jpg",253. Rape,<a href='/digital-beehive/toc/toc2_085/'>Full Page</a>,,<a href='/digital-beehive/num2/num_0276/'>change name</a>
num_0278,Volume 2,95,,254,Name,251-275,,,<a href='/digital-beehive/num4/num_1300/'>974 [Name]</a>,,[NOT_IN_INDEX],#item-7c0a9feef,,Entry: 254|Topic: Name|Xref: 974 [Name]|Index: [NOT_IN_INDEX]|#item-7c0a9feef,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0562/244,1710,3052,674/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0562/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1571422396457,209511710,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0562/244,1710,600,180/250,/0/default.jpg",254. Name,<a href='/digital-beehive/toc/toc2_085/'>Full Page</a>,,<a href='/digital-beehive/num2/num_0279/'>Onomantia</a>
num_0279,Volume 2,95,,254,Onomantia,251-275,,,<a href='/digital-beehive/num4/num_1300/'>974 [Name]</a>,,<a href='/digital-beehive/index4/index_2798/'>onomantia</a>,#item-46a4d3e03,,Entry: 254|Topic: Onomantia|Xref: 974 [Name]|Index: onomantia|#item-46a4d3e03,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0562/255,1969,3054,421/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0562/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1571422323246,209511969,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0562/255,1969,600,180/250,/0/default.jpg",254. Onomantia,<a href='/digital-beehive/toc/toc2_085/'>Full Page</a>,,<a href='/digital-beehive/num2/num_0278/'>Name</a>
num_0280,Volume 2,95,,255,Profession,251-275,,,<a href='/digital-beehive/alpha1/alpha_0170/'>Confession</a>|<a href='/digital-beehive/num7/num_2622/'>1699 [Profession]</a>,,<a href='/digital-beehive/index4/index_3178/'>profession</a>,#item-81b398f4d,,Entry: 255|Topic: Profession|Xref: Confession|Xref: 1699 [Profession]|Index: profession|#item-81b398f4d,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0562/255,2340,3078,829/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0562/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1570729894000,209512340,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0562/255,2340,600,180/250,/0/default.jpg",255. Profession,<a href='/digital-beehive/toc/toc2_085/'>Full Page</a>,,
num_0281,Volume 2,95,,256,Allusions,251-275,,,<a href='/digital-beehive/num2/num_0297/'>265 [Metaphor or figurative Speech]</a>,,<a href='/digital-beehive/index1/index_0103/'>allusion</a>|<a href='/digital-beehive/index2/index_1311/'>etymology</a>,#item-d01fb6ca8,,Entry: 256|Topic: Allusions|Xref: 265 [Metaphor or figurative Speech]|Index: allusion|Index: etymology|#item-d01fb6ca8,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0562/277,3057,3065,747/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0562/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1570730101331,209513057,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0562/277,3057,600,180/250,/0/default.jpg",256. Allusions,<a href='/digital-beehive/toc/toc2_085/'>Full Page</a>,"The point of reference for ""Etymologies"" is not entirely clear. We linked to 256 [Etymology], which is the first relevant entry in the numerical section of the Alvearium.",
num_0282,Volume 2,95,,257,Arms,251-275,,,<a href='/digital-beehive/alpha2/alpha_0416/'>Heraldry</a>,,<a href='/digital-beehive/index1/index_0208/'>arms. wappen o waffen</a>|<a href='/digital-beehive/index2/index_1268/'>ensigns</a>,#item-ae122c811,,Entry: 257|Topic: Arms|Xref: Heraldry|Index: arms. wappen o waffen|Index: ensigns|#item-ae122c811,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0562/275,3765,3064,306/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0562/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1570730350283,209513765,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0562/275,3765,600,180/250,/0/default.jpg",257. Arms,<a href='/digital-beehive/toc/toc2_085/'>Full Page</a>,,<a href='/digital-beehive/num2/num_0283/'>Feathers</a>
