pid,volume,image_number,head,entry,topic,first_letter,page,add,xref,see,index,item,unparsed,line,selection,full_image,annotation_uri,insertion,thumbnail,label,location,issue,also_in_entry
num_1078,Volume 2,171,,866,Stealing,851-875,,,<a href='/digital-beehive/alpha4/alpha_0817/'>Robbery</a>|<a href='/digital-beehive/toc/toc2_375/'>2094 [Theft]</a>,,<a href='/digital-beehive/index4/index_3910/'>stealing</a>|<a href='/digital-beehive/index5/index_4088/'>theft</a>,#item-b33f753cc,,Entry: 866|Topic: Stealing|Xref: Robbery|Xref: 2094 [Theft]|Index: stealing|Index: theft|#item-b33f753cc,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0638/375,265,2830,345/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0638/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1582133607918,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0638/375,265,600,180/250,/0/default.jpg",866. Stealing,<a href='/digital-beehive/toc/toc2_161/'>Full Page</a>,,<a href='/digital-beehive/num4/num_1079/'>To Retain</a>|<a href='/digital-beehive/num4/num_1080/'>Train</a>|<a href='/digital-beehive/num4/num_1081/'>Footstep</a>|<a href='/digital-beehive/num4/num_1082/'>To Rot</a>
num_1079,Volume 2,171,,866,To Retain,851-875,,,,,<a href='/digital-beehive/index4/index_3377/'>to retain</a>,#item-4a91b56dd,,Entry: 866|Topic: To Retain|Index: to retain|#item-4a91b56dd,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0638/359,530,1524,167/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0638/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1582133698113,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0638/359,530,600,180/250,/0/default.jpg",866. To Retain,<a href='/digital-beehive/toc/toc2_161/'>Full Page</a>,,<a href='/digital-beehive/num4/num_1078/'>Stealing</a>|<a href='/digital-beehive/num4/num_1080/'>Train</a>|<a href='/digital-beehive/num4/num_1081/'>Footstep</a>|<a href='/digital-beehive/num4/num_1082/'>To Rot</a>
num_1080,Volume 2,171,,866,Train,851-875,,,781 [PAGE_MISSING; Train]|Pomp|<a href='/digital-beehive/toc/toc2_254/'>1303 [State]</a>,,<a href='/digital-beehive/index2/index_1317/'>equipage</a>|<a href='/digital-beehive/index5/index_4171/'>train</a>,#item-458c7044e,,"Entry: 866|Topic: Train|Entry: 781 [PAGE_MISSING, Train]|Xref: Pomp|Xref: 1303 [State]|Index: equipage|Index: train|#item-458c7044e","https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0638/364,703,2832,294/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0638/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1582133804949,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0638/364,703,600,180/250,/0/default.jpg",866. Train,<a href='/digital-beehive/toc/toc2_161/'>Full Page</a>,"The point of reference for ""Pomp"" is unclear.",<a href='/digital-beehive/num4/num_1078/'>Stealing</a>|<a href='/digital-beehive/num4/num_1079/'>To Retain</a>|<a href='/digital-beehive/num4/num_1081/'>Footstep</a>|<a href='/digital-beehive/num4/num_1082/'>To Rot</a>
num_1081,Volume 2,171,,866,Footstep,851-875,,,,,<a href='/digital-beehive/index2/index_1522/'>footstep</a>,#item-42d50151d,,Entry: 866|Topic: Footstep|Index: footstep|#item-42d50151d,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0638/385,928,2808,200/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0638/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1582133962698,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0638/385,928,600,180/250,/0/default.jpg",866. Footstep,<a href='/digital-beehive/toc/toc2_161/'>Full Page</a>,,<a href='/digital-beehive/num4/num_1078/'>Stealing</a>|<a href='/digital-beehive/num4/num_1079/'>To Retain</a>|<a href='/digital-beehive/num4/num_1080/'>Train</a>|<a href='/digital-beehive/num4/num_1082/'>To Rot</a>
num_1082,Volume 2,171,,866,To Rot,851-875,,,<a href='/digital-beehive/toc/toc2_376/'>2109 [Putrefaction]</a>,,<a href='/digital-beehive/index4/index_3297/'>putrefaction</a>|<a href='/digital-beehive/index4/index_3416/'>to rot</a>,#item-e8322c2b5,,Entry: 866|Topic: To Rot|Xref: 2109 [Putrefaction]|Index: putrefaction|Index: to rot|#item-e8322c2b5,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0638/392,1058,2815,321/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0638/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1582134071828,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0638/392,1058,600,180/250,/0/default.jpg",866. To Rot,<a href='/digital-beehive/toc/toc2_161/'>Full Page</a>,,<a href='/digital-beehive/num4/num_1078/'>Stealing</a>|<a href='/digital-beehive/num4/num_1079/'>To Retain</a>|<a href='/digital-beehive/num4/num_1080/'>Train</a>|<a href='/digital-beehive/num4/num_1081/'>Footstep</a>
num_1083,Volume 2,171,,867,To Vote,851-875,,,<a href='/digital-beehive/toc/toc2_418/'>2423 [Votes]</a>,,<a href='/digital-beehive/index5/index_4481/'>to vote</a>,#item-f435efc2c,,Entry: 867|Topic: To Vote|Xref: 2423 [Votes]|Index: to vote|#item-f435efc2c,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0638/422,1309,2830,303/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0638/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1582134196944,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0638/422,1309,600,180/250,/0/default.jpg",867. To Vote,<a href='/digital-beehive/toc/toc2_161/'>Full Page</a>,,<a href='/digital-beehive/num4/num_1084/'>Some</a>|<a href='/digital-beehive/num4/num_1085/'>Sometimes</a>|<a href='/digital-beehive/num4/num_1086/'>a Circle</a>|<a href='/digital-beehive/num4/num_1087/'>Context</a>
num_1084,Volume 2,171,,867,Some,851-875,,,,,<a href='/digital-beehive/index4/index_3789/'>some</a>,#item-e31523905,,Entry: 867|Topic: Some|Index: some|#item-e31523905,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0638/437,1537,2810,178/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0638/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1582134244932,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0638/437,1537,600,180/250,/0/default.jpg",867. Some,<a href='/digital-beehive/toc/toc2_161/'>Full Page</a>,,<a href='/digital-beehive/num4/num_1083/'>To Vote</a>|<a href='/digital-beehive/num4/num_1085/'>Sometimes</a>|<a href='/digital-beehive/num4/num_1086/'>a Circle</a>|<a href='/digital-beehive/num4/num_1087/'>Context</a>
num_1085,Volume 2,171,,867,Sometimes,851-875,,,,,<a href='/digital-beehive/index4/index_3809/'>sometimes</a>|<a href='/digital-beehive/index3/index_2747/'>now & then</a>,#item-9e101d056,,Entry: 867|Topic: Sometimes|Index: sometimes|Index: now & then|#item-9e101d056,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0638/448,1698,2781,215/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0638/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1582134371365,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0638/448,1698,600,180/250,/0/default.jpg",867. Sometimes,<a href='/digital-beehive/toc/toc2_161/'>Full Page</a>,,<a href='/digital-beehive/num4/num_1083/'>To Vote</a>|<a href='/digital-beehive/num4/num_1084/'>Some</a>|<a href='/digital-beehive/num4/num_1086/'>a Circle</a>|<a href='/digital-beehive/num4/num_1087/'>Context</a>
num_1086,Volume 2,171,,867,a Circle,851-875,,,,,<a href='/digital-beehive/index1/index_0706/'>circle</a>|<a href='/digital-beehive/index4/index_3419/'>round</a>,#item-9856ba9ab,,Entry: 867|Topic: a Circle|Index: circle|Index: round|#item-9856ba9ab,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0638/436,1839,2772,263/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0638/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1582134424787,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0638/436,1839,600,180/250,/0/default.jpg",867. a Circle,<a href='/digital-beehive/toc/toc2_161/'>Full Page</a>,,<a href='/digital-beehive/num4/num_1083/'>To Vote</a>|<a href='/digital-beehive/num4/num_1084/'>Some</a>|<a href='/digital-beehive/num4/num_1085/'>Sometimes</a>|<a href='/digital-beehive/num4/num_1087/'>Context</a>
num_1087,Volume 2,171,,867,Context,851-875,,,,,<a href='/digital-beehive/index1/index_0860/'>context</a>,#item-b66ab4e94,,Entry: 867|Topic: Context|Index: context|#item-b66ab4e94,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0638/434,2066,2832,238/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0638/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1582134464958,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0638/434,2066,600,180/250,/0/default.jpg",867. Context,<a href='/digital-beehive/toc/toc2_161/'>Full Page</a>,,<a href='/digital-beehive/num4/num_1083/'>To Vote</a>|<a href='/digital-beehive/num4/num_1084/'>Some</a>|<a href='/digital-beehive/num4/num_1085/'>Sometimes</a>|<a href='/digital-beehive/num4/num_1086/'>a Circle</a>
num_1088,Volume 2,171,,868,End,851-875,,,<a href='/digital-beehive/toc/toc2_393/'>2249 [End]</a>,,<a href='/digital-beehive/index2/index_1208/'>end</a>,#item-7b84be81e,,Entry: 868|Topic: End|Xref: 2249 [End]|Index: end|#item-7b84be81e,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0638/401,2356,2842,619/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0638/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1582134558984,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0638/401,2356,600,180/250,/0/default.jpg",868. End,<a href='/digital-beehive/toc/toc2_161/'>Full Page</a>,,<a href='/digital-beehive/num4/num_1089/'>Meditation</a>
