pid,pastorius_page_numbers,notes
toc1_051,1,
toc1_052,2,
toc1_053,3,
toc1_054,4,
toc1_055,5,
toc1_056,6,
toc1_057,7,
toc1_058,8,
toc1_059,9,
toc1_060,10,
toc1_061,11,
toc1_062,12,
toc1_063,13,
toc1_064,14,
toc1_065,15,
toc1_066,16,
toc1_067,17,
toc1_068,18,
toc1_069,19,
toc1_070,20,
toc1_071,21,
toc1_072,22,
toc1_073,23,
toc1_074,24,
toc1_075,25,
toc1_076,26,
toc1_077,27,
toc1_078,28,
toc1_079,29,
toc1_080,30,
toc1_081,31,
toc1_082,32,
toc1_083,33,
toc1_084,34,
toc1_085,35,
toc1_086,36,
toc1_087,37,
toc1_088,38,
toc1_089,39,
toc1_090,40,
toc1_091,41,
toc1_092,42,
toc1_093,43,
toc1_094,44,
toc1_095,45,
toc1_096,46,
toc1_097,47,
toc1_098,48,
toc1_099,49,
toc1_100,50,
toc1_101,51,
toc1_102,52,
toc1_103,53,
toc1_104,54,
toc1_105,55,
toc1_106,55.2,
toc1_107,56,
toc1_108,56.2,
toc1_109,57,
toc1_110,57.2,
toc1_111,58,
toc1_112,58.2,
toc1_113,59,
toc1_114,59.2,
toc1_115,60,
toc1_116,60.2,
toc1_117,61,
toc1_118,61.2,
toc1_119,62,
toc1_120,62.2,
toc1_231,63,Older page numbers for linking purposes.
toc1_122,63.2,
toc1_123,64,
toc1_124,64.2,
toc1_125,65,
toc1_126,65.2,
toc1_127,66,
toc1_128,66.2,
toc1_129,67,
toc1_130,67.2,
toc1_131,67.3,
toc1_132,67.4,
toc1_133,68,
toc1_134,?,
toc1_135,?,
toc1_136,68.2,
toc1_137,69,
toc1_138,69.2,
toc1_139,70,
toc1_140,70.2,
toc1_141,71,
toc1_142,71.2,
toc1_143,72,
toc1_144,72.2,
toc1_145,73,
toc1_146,73.2,
toc1_147,74,
toc1_148,74.2,
toc1_149,75,
toc1_150,75.2,
toc1_151,76,
toc1_152,76.2,
toc1_153,77,
toc1_154,78,
toc1_247,79,older page number for linking purposes
toc1_156,79.2,
toc1_231,88,
toc1_253,111,
toc1_281,140,
toc1_333,192,
toc2_187,375,
toc2_188,376,
toc2_189,377,
toc2_190,378,
toc2_191,379,
toc2_290,380,
toc2_296,386,
