pid,volume,image,pastorius_page_numbers,older_pastorius_page_numbers,type,secondary_type,section_title,secondary_section_title,tertiary_section_title,pastorius_section_header,pastorius_description,contents,secondary_contents,first_entry,last_entry,order,thumbnail,full,notes_DONOTUSE
toc1_001,1,11,,,Introductory Material,,Front Matter,Third Version,,,,Introduction to his Common-Place Book,,,,1,,,Title page and table of contents for volume 1
toc1_002,1,12,,,Introductory Material,,Front Matter,Third Version,,,,Rhymes & Commentary on the Nature of the Manuscript,,,,2,,,Epigraphs and introductory notes
toc1_003,1,13,,,Introductory Material,,Front Matter,Third Version,,Francis Daniel Pastorius's Paper-Hive: Whose Beginning once was in page Fifty-five,,"TItle Page & Epigraphs for the ""Paper-Hive"" in Seven Languages (pt. 1)",,,,3,,,"Epigraphs, titles, letter to sons, onomastic symbols (unnumbered)"
toc1_004,1,14,,,Introductory Material,,Front Matter,Third Version,,,,"Epigraphs for the ""Paper-Hive"" in Seven Languages (pt. 2)",,,,4,,,Epigraphs
toc1_005,1,15,,,Introductory Material,,Front Matter,Third Version,,,,"Epigraphs for the ""Paper-Hive"" in Seven Languages (pt. 3)",,,,5,,,Epigraphs
toc1_006,1,16,,,Blank Page,,,,,,,,,,,6,,,
toc1_007,1,17,,,Introductory Material,,Front Matter,Third Version,,"Francis Dan- [...] his [...] Hive. Begun Anno Dond, Or In the Year of Christian Account 1696.",,Revised Introduction to the Manuscript,,,,7,,,Title page and epigraphs
toc1_008,1,18,,,Indices,Alvearium,Old Alvearium Index,,,[MISSING],[MISSING],abate - barn,,Abate,barn,8,,,
toc1_009,1,19,,,Indices,Alvearium,Old Alvearium Index,,,,,barrenness - cause: of sin,,barrenness,cause: of sin,9,,,
toc1_010,1,20,,,Indices,Alvearium,Old Alvearium Index,,,,,cellar - day,,cellar,day: add Visitation,10,,,
toc1_011,1,21,,,Indices,Alvearium,Old Alvearium Index,,,,,deafness - errata in printing,,deafness,errata in printing,11,,,
toc1_012,1,22,,,Indices,Alvearium,Old Alvearium Index,,,,,estrich - hosp. at Glaucha: books there printed,,estrich,hosp. at Glaucha: books there printed,12,,,
toc1_013,1,23,,,Indices,Alvearium,Old Alvearium Index,,,,,glass - Jesting: jocular books,,glass,Jesting: jocular books,13,,,
toc1_014,1,24,,,Indices,Alvearium,Old Alvearium Index,,,,,Jew - to Leak,,Jew,to Leak,14,,,
toc1_015,1,25,,,Indices,Alvearium,Old Alvearium Index,,,,,to lean on - to mitigate,,to lean on,to mitigate,15,,,
toc1_016,1,26,,,Indices,Alvearium,Old Alvearium Index,,,,,mock - ostentation,,mock,ostentation,16,,,
toc1_017,1,27,,,Indices,Alvearium,Old Alvearium Index,,,,,other - preludium,,other,preludium,17,,,
toc1_018,1,28,,,Indices,Alvearium,Old Alvearium Index,,,,,preoccupation - religion,,preoccupation,religion,18,,,
toc1_019,1,29,,,Indices,Alvearium,Old Alvearium Index,,,,,reliques or remains - Selandia,,reliques or remains,Selandia,19,,,
toc1_020,1,30,,,Indices,Alvearium,Old Alvearium Index,,,,,Seldom - sperma,,Seldom,sperma,20,,,
toc1_021,1,31,,,Indices,Alvearium,Old Alvearium Index,,,,,Spices - tenant,,Spices,tenant,21,,,
toc1_022,1,32,,,Indices,Alvearium,Old Alvearium Index,,,,,tenderness - Virgil,,tenderness,Virgil,22,,,
toc1_023,1,33,,,Indices,Alvearium,Old Alvearium Index,,,,,Virginia - wilderness,,Virginia,wilderness,23,,,
toc1_024,1,34,,,Indices,Alvearium,Old Alvearium Index,Index to Epitaphs,,"An Alphabetical Register of the Names of those who (forsooth) are Im[m]ortalized by Epitaphs, rehearsed in this Manuscript, from page 11. &c.","[Epitaphs no usual among primitive Christians, but among Gentiles & Papists, see p. 11 num. 10. 11. 12. & 13.)",[Old Alphabetical Hive Index:] will: of God - zuz,[Epitaphs:] Alexanoni M. - Laur. Valla.,will: of God,zuz,24,,,Page also contains alphabetical list of people whose epitaphs are found in the MS
toc1_025,1,35,,,Indices,Onomastical Considerations,Onomastic Index,,,"A peculiar Index or Table to Mine Onomastical Considerations, which begin page 63. & 111.",,Abaddon - the only Blessee,,Abaddon,the only Blessee,25,,,"(The referenced numerical onomastic section will come up later in vol. 1, so don't be afraid)"
toc1_026,1,36,,,Indices,Onomastical Considerations,Onomastic Index,,,,,blind girl - Crocuta,,blind girl,Crocuta,26,,,(Alphabetize according to relevant letter?)
toc1_027,1,37,,,Indices,Onomastical Considerations,Onomastic Index,,,,,Croesus - face of God,,Croesus,face of God,27,,,
toc1_028,1,38,,,Indices,Onomastical Considerations,Onomastic Index,,,,,facilities sake - harmonious names,,facilities sake,harmonious names,28,,,"Last two entries after ""harmonious names"" somewhat illegible due to trimming. Query: what should we do when we can extrapolate the content of an illegible word or line? Extrapolate, or note only what is legible?"
toc1_029,1,39,,,Indices,Onomastical Considerations,Onomastic Index,,,,,John Harvy - killing forbidden,,John Harvy,killing forbidden,29,,,
toc1_030,1,40,,,Indices,Onomastical Considerations,Onomastic Index,,,,,poet Kimblo - Mich. de Montagne,,poet Kimblo,Mich. de Montagne,30,,,
toc1_031,1,41,,,Indices,Onomastical Considerations,Onomastic Index,,,,,Montanists - Parnassus,,Montanists,Parnassus,31,,,
toc1_032,1,42,,,Indices,Onomastical Considerations,Onomastic Index,,,,,Parochi - rack,,Parochi,rack,32,,,
toc1_033,1,43,,,Indices,Onomastical Considerations,Onomastic Index,,,,,Racilia - Shirion,,Racilia,Shirion,33,,,
toc1_034,1,44,,,Indices,Onomastical Considerations,Onomastic Index,,,,,Shittim Wood - Transsylvania,,Shittim Wood,Transsylvania,34,,,
toc1_035,1,45,,,Indices,Onomastical Considerations,Onomastic Index,,,,"NB. Where this Table the room being all crowded up grew to narrow for more words belonging to that place, you'll find a [: :] with a Number in it, and this refers you to the page next ensuing to this.",Geo. Trapezuntius - John Duke of Zweybrucken,,Geo. Trapezuntius,John Duke of Zweybrucken,35,,,
toc1_036,1,46,,,Indices,Onomastical Considerations,Onomastic Index Additions,,,"Infarcienda, Or some More Names & Words, to be stuff'd & inserted into the foregoing Table",Finis Indicis Onomastici & 1707.,1 - 101,,1,101,36,,,
toc1_037,1,47,,,Indices,Onomastical Considerations,Onomastic Index Additions,,,,,102 - 157,,102,157,37,,,
toc1_038,1,48,,,Indices,Onomastical Considerations,Onomastic Index Additions,,,,,158 - 240,,158,240,38,,,
toc1_039,1,49,,,Indices,Onomastical Considerations,Onomastic Index Additions,,,,,241 - 315,,241,315,39,,,
toc1_040,1,50,,,Indices,Onomastical Considerations,Onomastic Index Additions,,,,,316 - 387,,316,387,40,,,
toc1_041,1,51,,,Blank Page,,,,,,,,,,,41,,,
toc1_042,1,52,,,Blank Page,,,,,,,,,,,42,,,
toc1_043,1,53,,,Blank Page,,,,,,,,,,,43,,,
toc1_044,1,54,,,Blank Page,,,,,,,,,,,44,,,
toc1_045,1,55,,,Blank Page,,,,,,,,,,,45,,,
toc1_046,1,56,,,Onomastic Symbols,,Symbola Onomastica,,,F.D.P. Symbola Onomastica vide infrà pag 55. 66. 67 ./. qua hic Continuantur.,,250 - 320,,250,320,46,,,Continues from image 141
toc1_047,1,57,,,Onomastic Symbols,,Symbola Onomastica,,,,,321 - 389,,321,389,47,,,
toc1_048,1,58,,,Onomastic Symbols,,Symbola Onomastica,,,Adde infrà pag. 136.,,390 - 465,,390,465,48,,,Continues to image 225
toc1_049,1,59,,,Introductory Material,,Front Matter,Second Version,,Francis Daniel Pastorius: his Book. 1696.,,Title Page & Epigraphs to the Manuscript,,,,49,,,Title page and epigraphs
toc1_050,1,60,,,Introductory Material,,Front Matter,Second Version,,"The Contents of the portable Volume of Importation, which having several times been fenced in by Stitching more Sheets thereunto, got quite an other Form or Face than Its first was, even in the eyes of the Compiler himself.",,Table of Contents & Introductory Notes,,,,50,,,Table of contents and introductory notes
