pid,volume,image,pastorius_page_numbers,older_pastorius_page_numbers,type,secondary_type,section_title,secondary_section_title,tertiary_section_title,pastorius_section_header,pastorius_description,contents,secondary_contents,first_entry,last_entry,order,thumbnail,full,notes_DONOTUSE
toc1_001,1,11,,,Introductory Material,,Front Matter,Third Version,,,,Introduction to his Common-Place Book,,,,1,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0010/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0010/full/full/0/default.jpg,Title page and table of contents for volume 1
toc1_002,1,12,,,Introductory Material,,Front Matter,Third Version,,,,Rhymes & Commentary on the Nature of the Manuscript,,,,2,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0011/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0011/full/full/0/default.jpg,Epigraphs and introductory notes
toc1_003,1,13,,,Introductory Material,,Front Matter,Third Version,,Francis Daniel Pastorius's Paper-Hive: Whose Beginning once was in page Fifty-five,,"TItle Page & Epigraphs for the ""Paper-Hive"" in Seven Languages (pt. 1)",,,,3,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0012/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0012/full/full/0/default.jpg,"Epigraphs, titles, letter to sons, onomastic symbols (unnumbered)"
toc1_004,1,14,,,Introductory Material,,Front Matter,Third Version,,,,"Epigraphs for the ""Paper-Hive"" in Seven Languages (pt. 2)",,,,4,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0013/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0013/full/full/0/default.jpg,Epigraphs
toc1_005,1,15,,,Introductory Material,,Front Matter,Third Version,,,,"Epigraphs for the ""Paper-Hive"" in Seven Languages (pt. 3)",,,,5,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0014/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0014/full/full/0/default.jpg,Epigraphs
toc1_006,1,16,,,Blank Page,,,,,,,,,,,6,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0015/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0015/full/full/0/default.jpg,
toc1_007,1,17,,,Introductory Material,,Front Matter,Third Version,,"Francis Dan- [...] his [...] Hive. Begun Anno Dond, Or In the Year of Christian Account 1696.",,Revised Introduction to the Manuscript,,,,7,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0016/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0016/full/full/0/default.jpg,Title page and epigraphs
toc1_008,1,18,,,Indices,Alvearium,Old Alvearium Index,,,[MISSING],[MISSING],abate - barn,,Abate,barn,8,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0017/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0017/full/full/0/default.jpg,
toc1_009,1,19,,,Indices,Alvearium,Old Alvearium Index,,,,,barrenness - cause: of sin,,barrenness,cause: of sin,9,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0018/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0018/full/full/0/default.jpg,
toc1_010,1,20,,,Indices,Alvearium,Old Alvearium Index,,,,,cellar - day,,cellar,day: add Visitation,10,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0019/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0019/full/full/0/default.jpg,
toc1_011,1,21,,,Indices,Alvearium,Old Alvearium Index,,,,,deafness - errata in printing,,deafness,errata in printing,11,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0020/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0020/full/full/0/default.jpg,
toc1_012,1,22,,,Indices,Alvearium,Old Alvearium Index,,,,,estrich - hosp. at Glaucha: books there printed,,estrich,hosp. at Glaucha: books there printed,12,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0021/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0021/full/full/0/default.jpg,
toc1_013,1,23,,,Indices,Alvearium,Old Alvearium Index,,,,,glass - Jesting: jocular books,,glass,Jesting: jocular books,13,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0022/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0022/full/full/0/default.jpg,
toc1_014,1,24,,,Indices,Alvearium,Old Alvearium Index,,,,,Jew - to Leak,,Jew,to Leak,14,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0023/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0023/full/full/0/default.jpg,
toc1_015,1,25,,,Indices,Alvearium,Old Alvearium Index,,,,,to lean on - to mitigate,,to lean on,to mitigate,15,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0024/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0024/full/full/0/default.jpg,
toc1_016,1,26,,,Indices,Alvearium,Old Alvearium Index,,,,,mock - ostentation,,mock,ostentation,16,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0025/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0025/full/full/0/default.jpg,
toc1_017,1,27,,,Indices,Alvearium,Old Alvearium Index,,,,,other - preludium,,other,preludium,17,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0026/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0026/full/full/0/default.jpg,
toc1_018,1,28,,,Indices,Alvearium,Old Alvearium Index,,,,,preoccupation - religion,,preoccupation,religion,18,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0027/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0027/full/full/0/default.jpg,
toc1_019,1,29,,,Indices,Alvearium,Old Alvearium Index,,,,,reliques or remains - Selandia,,reliques or remains,Selandia,19,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0028/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0028/full/full/0/default.jpg,
toc1_020,1,30,,,Indices,Alvearium,Old Alvearium Index,,,,,Seldom - sperma,,Seldom,sperma,20,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0029/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0029/full/full/0/default.jpg,
toc1_021,1,31,,,Indices,Alvearium,Old Alvearium Index,,,,,Spices - tenant,,Spices,tenant,21,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0030/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0030/full/full/0/default.jpg,
toc1_022,1,32,,,Indices,Alvearium,Old Alvearium Index,,,,,tenderness - Virgil,,tenderness,Virgil,22,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0031/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0031/full/full/0/default.jpg,
toc1_023,1,33,,,Indices,Alvearium,Old Alvearium Index,,,,,Virginia - wilderness,,Virginia,wilderness,23,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0032/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0032/full/full/0/default.jpg,
