pid,volume,image,pastorius_page_numbers,older_pastorius_page_numbers,type,secondary_type,toc_title,toc_link,section_title,secondary_section_title,tertiary_section_title,pastorius_section_header,pastorius_description,contents,notes,first_entry,last_entry,order,thumbnail,full,notes_DONOTUSE
toc2_001,2,11,,,Alvearium,,Alvearium: Favour - Instrument,Alvearium_Favour_Instrument,Alphabetical,,,,,,,Favour,Flattery,001,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0478/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0478/full/full/0/default.jpg,
toc2_002,2,12,,,Alvearium,,,,Alphabetical,,,,,,,Flea,Forgetfulness,002,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0479/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0479/full/full/0/default.jpg,
toc2_003,2,13,,,Alvearium,,,,Alphabetical,,,,,,,Fort,Future,003,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0480/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0480/full/full/0/default.jpg,
toc2_004,2,14,,,Alvearium,,,,Alphabetical,,,,,,,Garden,Gods blessings,004,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0481/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0481/full/full/0/default.jpg,
toc2_005,2,15,,,Alvearium,,,,Alphabetical,,,,,,,Gods goodness,Grammar,005,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0482/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0482/full/full/0/default.jpg,
toc2_006,2,16,,,Alvearium,,,,Alphabetical,,,,,,,Grandeur,Hardning,006,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0483/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0483/full/full/0/default.jpg,
toc2_007,2,17,,,Alvearium,,,,Alphabetical,,,,,,,Hare,Heavenly things,007,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0484/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0484/full/full/0/default.jpg,
toc2_008,2,18,,,Alvearium,,,,Alphabetical,,,,,,,Heaviness,Hog,008,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0485/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0485/full/full/0/default.jpg,
toc2_009,2,19,,,Alvearium,,,,Alphabetical,,,,,,,Holiness,Hotch potch,009,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0486/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0486/full/full/0/default.jpg,
toc2_010,2,20,,,Alvearium,,Alvearium:  House - Jealousy,Alvearium_House_Jealousy,Alphabetical,,,,,,,House,Jealousy,010,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0487/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0487/full/full/0/default.jpg,
toc2_011,2,21,,,Alvearium,,,,Alphabetical,,,,,,,Jesting,Imitation,011,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0488/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0488/full/full/0/default.jpg,
toc2_012,2,22,,,Alvearium,,,,Alphabetical,,,,,,,Imitation of Christ,Incontinence,012,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0489/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0489/full/full/0/default.jpg,
toc2_013,2,23,,,Alvearium,,,,Alphabetical,,,,,,,Increase,Instrument,013,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0490/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0490/full/full/0/default.jpg,
toc2_014,2,24,,,Alvearium,,,,Alphabetical,,,,,,,Intemperance,Judgment,014,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0491/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0491/full/full/0/default.jpg,
toc2_015,2,25,,,Alvearium,,,,Alphabetical,,,,,,,Judgmt of God,Knowledge,015,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0492/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0492/full/full/0/default.jpg,
toc2_016,2,26,,,Alvearium,,,,Alphabetical,,,,,,,Labour,Law,016,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0493/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0493/full/full/0/default.jpg,
toc2_017,2,27,,,Alvearium,,,,Alphabetical,,,,,,Final entry continues on next page.,Law,Liberty of Conscience,017,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0494/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0494/full/full/0/default.jpg,
toc2_018,2,28,,,Alvearium,,,,Alphabetical,,,,,,,Library,Long,018,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0495/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0495/full/full/0/default.jpg,
toc2_019,2,29,,,Alvearium,,,,Alphabetical,,,,,,,Longsufferance,Love of the brethren,019,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0496/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0496/full/full/0/default.jpg,
toc2_020,2,30,,,Alvearium,,,,Alphabetical,,,,,,,Love of our Neighbour,Malignity,020,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0497/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0497/full/full/0/default.jpg,
toc2_021,2,31,,,Alvearium,,,,Alphabetical,,,,,,,Man,Mediatour,021,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0498/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0498/full/full/0/default.jpg,
toc2_022,2,32,,,Alvearium,,,,Alphabetical,,,,,,,Medicine,Milk,022,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0499/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0499/full/full/0/default.jpg,
