pid,volume,image,type,toc_title,toc_link,section_title,pastorius_section_header,pastorius_description,contents,First entry,Last entry,order,thumbnail,full,notes_DONOTUSE
toc3_01,3,1,The Book's Physical Properties,,,,,,Octavo Alvearium Index Front Cover,,,1,"https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0944/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0944/full/full/0/default.jpg,
toc3_02,3,2,Introductory Material,,,Octavo Index Front Matter,,"F.D.P. Favos Diligentia Parat. / Studium et Constantia, / Labor & Tolerantia / Colligunt ab Infantiâ, / Docta et Elegantia, / Lectorem Delectantia. / Et Finem Coronantia. // If we not exercise our Wit, / A short Time's Sloth corrupteth it. / Ignavus : Ignarus. / Neglectis urenda Filix innascitur Agris. / Wir in sÿn Lant geen Koren saeyt; 'Tis seeker, dat hÿ Distels maeyt! // An Encyclopedia of all what can be known, / May very well be made be Com[m]on-placing down / The Better Sort of things out of the Best of Books; / And such a Work, no doubt, the Best of men would own, / Some Better lay aside their Surpliss & their gown, / Yea and Good Captains beat their spears to Pruning-hooks. // Fac Deus Providenbit.",Introductory Verse,,,2,"https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0945/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0945/full/full/0/default.jpg,
toc3_03,3,3,Introductory Material,,,Miscellania,,[In Others' Hands:] Presented Aug. 18. 1859 / To Mrs. Ann Eliza Shuster / by Charles M. Wagner. // Presentend to Washington Pastorius / by his cousin Ann Eliza Pastorius Shuster,Presentation Record,,,3,"https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0946/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0946/full/full/0/default.jpg,
toc3_04,3,4,Blank Page,,,,,,,,,4,"https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0947/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0947/full/full/0/default.jpg,
toc3_05,3,5,Introductory Material,Title Page to Index,Several_Thousand_Crannies,Octavo Index Front Matter,"Several thousand / Crannies / of / F. D. P. s / Alphabetical Hive / in Folio, / Into which he Collected / I. Variety of Words, Phrases & Anglicisms, / II. Verity of Com[m]on Sayings & Proverbs, / III. Rarity of more Important Matters.","NB. In the said Folio there are also above 1700. Onomastical Remarks / with an appropriated Index or Table / every whit as large as this. // A Book which Treasures up all Learning in a Sum[m], / Some other men would call, GAZOPHYLACHIM; / But I intitle mine an Alvear, or Hive: / (At this, (as I suppose), the Reader will connive,) / Because I do prefer a Honey-Comb to Gold, / To Silver and to Plate, belov'd by Young & Old; / Esteeming Jewels less than Knowledge Arts & Wit, / Than Wisdom, valued so much in Holy Writ. &c. / Prov. 1:7. & 3:13.14. & 4:5.6.7. & 7:4. & 8.per totum. & 9:11. / & 10.31. & 14:8. & 16:16. & 18:1,2. & 19:8. & 23:23. / & 24:3./. & 28:2. & 29:3. &c. / Neither are Quakers against tru Learning, Knowledge / Arts & Sciences, vid. Rob. Barcl. Apol. prop. 10. §.18./. / Is. Pennington part 2 pag. 259. Wm Penn's Address / to Protestants of all Perswasuins pag. 147.",,,,5,"https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0948/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0948/full/full/0/default.jpg,
toc3_06,3,6,Introductory Material,,,,,"For as much as our Memory is not capable to retain / all remarkable words, Phrases, Sentences or / Matters of moment, which we do hear and read, / It beseems every good Scholar to have a Common- / Place-Book, and therein to treasure up what- / ever deserves his Notice. &c. And to the end / that he may readily know, both whither to dispose / & insert each particular, as also where upon / occasion to find the same again, &c.  He ought to / make himself an Alphabetical Index / like this of mine for my English Bee-Stock / which being the largest and best Manuscript, / I in my riper years did gather out of the most / excellent Authors thereunto prefixed, would / desire my two Sons, not to part with it for any gold / or red Dust of this World; But rather Con- / tinue it by the help of this following Table. / Because, The pride of Wisdom is above Rubies, / & cannot be valued with the precious Onyx or / Sapphire; And to get understanding is / rather to be chosen, than Silver. &c. / Prov. 16:16. Job 28:16, 18. and what / wisdom & undestanding is, vid. x. 28. // In the following Table the letter a. stands for the alphabetical / part of the Hive from p.134. to p.217. and the numbers 1. 2. 3. / to above 1800. [2000.] from thence do orderly succeed. // One or more Figures inclosed in a Crotchet, ex. gr. [.1.] after the / word Overmeasure, refers you to the additions annexed to the Alphabetical Table. // What in the subsequent Table is alledged by p. /: signifying Page / hath relation chiefly to that part of my Hive, Intit'led / Emblematical Recreations, from p. 25. to p. 54. / as also to the several Inscriptions, from p.2. &c.",Verse & Key to the Index,,,6,"https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0949/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0949/full/full/0/default.jpg,
toc3_07,3,7,Indices,Entries: abatement - drunkenness,Entries_abatement_drunkeness,Octavo Index,,,abatm[en]t - ambush,abatem[en]t,ambush,7,"https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0950/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0950/full/full/0/default.jpg,
toc3_08,3,8,Indices,,,Octavo Index,,,amen - at last,amen,at last,8,"https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0951/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0951/full/full/0/default.jpg,
toc3_09,3,9,Indices,,,Octavo Index,,,atheism - begging--the question,atheism,begging - the question,9,"https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0952/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0952/full/full/0/default.jpg,
toc3_10,3,10,Indices,,,Octavo Index,,,beginning - brain,beginning,brain,10,"https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0953/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0953/full/full/0/default.jpg,
